scope,procedure,severity,condition,stated_mechanism,severity_ok,mechanism_ok,should_be,vaidya_notes
pradhana_karma,basti,hard,atidurbala,Extreme depletion — as underweight.,,,,
pradhana_karma,basti,hard,bowel_obstruction,Instilling fluid proximal to an obstruction risks perforation.,,,,
pradhana_karma,basti,hard,diarrhea,The KB lists active diarrhoea or dysentery as absolute — Basti cannot be retained and adds to the loss.,,,,
pradhana_karma,basti,hard,diarrhoea,British spelling of the same finding.,,,,
pradhana_karma,basti,hard,dysentery,As active diarrhoea — the Basti cannot be retained and adds to an ongoing fluid loss.,,,,
pradhana_karma,basti,hard,emaciation,Atidurbala — as underweight.,,,,
pradhana_karma,basti,hard,ibd_crohns,As ulcerative colitis in an active flare.,,,,
pradhana_karma,basti,hard,nursing,Niruha decoction constituents are absorbed rectally and reach breast milk.,,,,
pradhana_karma,basti,hard,pregnancy,The KB names the first trimester specifically; the engine had no pregnancy term for Basti at all. Rectal distension provokes uterine contraction.,,,,
pradhana_karma,basti,hard,recent_colorectal_surgery,Fresh anastomoses will not tolerate instrumentation or distension.,,,,
pradhana_karma,basti,hard,rectal_bleeding,Instrumentation of a bleeding rectum worsens the source and obscures it.,,,,
pradhana_karma,basti,hard,rectal_prolapse,Netra insertion and the expulsion effort both worsen prolapse.,,,,
pradhana_karma,basti,hard,severe_ascites,Raised intra-abdominal pressure; rectal instillation is poorly tolerated and risks bowel injury.,,,,
pradhana_karma,basti,hard,ulcerative_colitis,Enema instrumentation on ulcerated mucosa risks perforation.,,,,
pradhana_karma,basti,hard,underweight,Atidurbala. The KB lists extreme emaciation as absolute — Niruha is Lekhana and depletes further.,,,,
pradhana_karma,basti,soft,chronic_kidney_disease,Matra Basti only — Niruha's electrolyte load is poorly cleared.,,,,
pradhana_karma,basti,soft,diabetes_type1,Monitor glucose around each Basti; prefer Anuvasana (oil) over Niruha.,,,,
pradhana_karma,basti,soft,hemorrhoids,Netra insertion is uncomfortable and can bleed; use a soft catheter and oil Basti only.,,,,
pradhana_karma,basti,soft,hypertension,Saindhava in the Niruha formula adds a sodium load; substitute or reduce.,,,,
pradhana_karma,nasya,hard,epistaxis,Active nasal bleeding — instillation obscures and worsens the source.,,,,
pradhana_karma,nasya,hard,nasal_surgery_recent,Instillation onto a fresh surgical bed risks bleeding and graft displacement.,,,,
pradhana_karma,nasya,hard,nursing,"As pregnancy, for medicated Navana Nasya only.",,,,
pradhana_karma,nasya,hard,pregnancy,Withheld for Navana Nasya — the medicated oils are systemically absorbed across nasal mucosa. Pratimarsha (2 drops plain oil) is the exception the contraindication_matrix permits.,,,,
pradhana_karma,nasya,soft,active_fever,Wait for resolution — the KB and the contraindication matrix both defer Shodhana during Jwara.,,,,
pradhana_karma,nasya,soft,acute_sinusitis,The KB says to wait for an acute cough or cold to resolve; instillation into an infected sinus can spread it.,,,,
pradhana_karma,nasya,soft,deviated_septum,Distribution is uneven; instil into the patent side and expect reduced effect.,,,,
pradhana_karma,nasya,soft,migraine,The KB warns against stimulating Nasya in Pitta headache — use Ksheerabala rather than Shadbindu.,,,,
pradhana_karma,nasya,soft,rhinitis,Allergic mucosa may react to the oil; test with a single drop first.,,,,
pradhana_karma,raktamokshana,hard,anemia,Pandu. Removing blood from a patient short of it is the plainest possible contraindication.,,,,
pradhana_karma,raktamokshana,hard,anticoagulants,"Warfarin, DOACs and heparin all make the puncture site unclosable.",,,,
pradhana_karma,raktamokshana,hard,bleeding_disorder,Bleeding will not stop at the site.,,,,
pradhana_karma,raktamokshana,hard,blood thinner,Anticoagulant — the puncture site will not close.,,,,
pradhana_karma,raktamokshana,hard,diabetes,Impaired wound healing and infection risk at leech or venesection sites.,,,,
pradhana_karma,raktamokshana,hard,elderly,The KB lists 'very old' as absolute; reduced marrow reserve and slower haemodynamic compensation.,,,,
pradhana_karma,raktamokshana,hard,hemophilia,As bleeding disorder — leech or venesection sites bleed uncontrollably.,,,,
pradhana_karma,raktamokshana,hard,hypotension,Further volume loss risks syncope and collapse.,,,,
pradhana_karma,raktamokshana,hard,immunodeficiency,An open wound and a live leech in an immunocompromised patient risks systemic infection.,,,,
pradhana_karma,raktamokshana,hard,nursing,Depletion of an already-taxed Rakta Dhatu.,,,,
pradhana_karma,raktamokshana,hard,peripheral_vascular_disease,Sites heal poorly and ulcerate.,,,,
pradhana_karma,raktamokshana,hard,pregnancy,Blood loss in pregnancy is not acceptable at any volume; the KB lists it absolute.,,,,
pradhana_karma,raktamokshana,hard,severe_cardiac,The KB lists severe cardiac weakness — volume loss is not tolerated.,,,,
pradhana_karma,raktamokshana,hard,warfarin,Anticoagulant — the puncture site will not close.,,,,
pradhana_karma,raktamokshana,soft,hypertension,"Historically an indication rather than a contraindication, but volume loss on antihypertensives can overshoot — monitor BP for two hours.",,,,
therapy,abhyanga_self,hard,active_fever,Jwara. Abhyanga during fever obstructs Srotas and drives the Dosha inward — CS Sutrasthana 13 names Jwara among the Sneha-nindita.,,,,
therapy,abhyanga_self,hard,acute_injury,"Massage over an acute sprain, fracture or open wound worsens tissue damage and bleeding.",,,,
therapy,abhyanga_self,hard,cellulitis,Massage over a spreading soft-tissue infection disseminates it.,,,,
therapy,abhyanga_self,hard,deep vein thrombosis,As DVT — massaging a limb with a deep vein thrombosis can dislodge the clot.,,,,
therapy,abhyanga_self,hard,dvt,Massaging a limb with deep vein thrombosis can dislodge the clot.,,,,
therapy,abhyanga_self,soft,high_ama,"Oil applied over undigested Ama occludes Srotas further — Deepana-Pachana first, which this engine now schedules.",,,,
therapy,abhyanga_self,soft,hypothyroidism,Kapha-predominant state; prefer dry Udvartana over heavy oleation.,,,,
therapy,abhyanga_self,soft,indigestion,Abhyanga on a full or dyspeptic stomach diverts Agni; wait two hours after food.,,,,
therapy,abhyanga_self,soft,obesity,"Kapha-increasing. Use Udvartana instead, or a light Sarshapa Taila application.",,,,
therapy,abhyanga_self,soft,skin_infection,Avoid the affected area entirely; oil spreads superficial fungal and bacterial infection.,,,,
therapy,abhyanga_clinic,soft,anxiety,Two-therapist synchronised massage involves sustained close contact; offer the single-therapist version first.,,,,
therapy,abhyanga_clinic,soft,ptsd,As anxiety — the patient must be able to stop the procedure at any point.,,,,
therapy,swedana_home,hard,active_fever,Adding heat to Jwara raises core temperature further.,,,,
therapy,swedana_home,hard,atidurbala,Extreme depletion — as underweight.,,,,
therapy,swedana_home,hard,bleeding_disorder,Vasodilation increases bleeding at any site.,,,,
therapy,swedana_home,hard,emaciation,Atidurbala — as underweight.,,,,
therapy,swedana_home,hard,heart_failure,As severe cardiac — fluid shift and tachycardia are not tolerated.,,,,
therapy,swedana_home,hard,hypotension,Vasodilation causes syncope.,,,,
therapy,swedana_home,hard,pregnancy,The KB lists pregnancy among Swedana contraindications — core temperature rise is teratogenic in the first trimester and causes foetal distress later.,,,,
therapy,swedana_home,hard,severe_cardiac,Peripheral vasodilation drops afterload and raises heart rate; poorly tolerated in cardiac failure.,,,,
therapy,swedana_home,hard,underweight,Extreme emaciation is a KB-listed contraindication — Swedana is drying and depletes further.,,,,
therapy,swedana_home,soft,diabetes,Peripheral neuropathy blunts the burn warning; the patient cannot reliably report that steam is too hot.,,,,
therapy,swedana_home,soft,eczema,Heat and moisture flare atopic skin.,,,,
therapy,swedana_home,soft,hypertension,"Vasodilation combined with antihypertensives risks a fall; sit rather than stand, and keep it under 10 minutes.",,,,
therapy,swedana_home,soft,migraine,Steam to the head is a common trigger; keep the face out of the steam as the KB directs.,,,,
therapy,swedana_home,soft,neuropathy,Same mechanism as diabetes — impaired sensation means burns go unnoticed.,,,,
therapy,swedana_home,soft,pitta_aggravation,The KB warns Swedana may aggravate high Pitta — keep the head cool and shorten the session.,,,,
therapy,swedana_home,soft,psoriasis,Koebner response — heat and friction can provoke new plaques.,,,,
therapy,swedana_home,soft,varicose_veins,Heat worsens venous pooling; avoid direct leg steam.,,,,
therapy,bashpa_sweda_clinic,hard,claustrophobia,Full-body steam chambers enclose the patient to the neck.,,,,
therapy,bashpa_sweda_clinic,soft,asthma,Herbal steam constituents can trigger bronchospasm in reactive airways; test tolerance briefly first.,,,,
therapy,snehapana_home,hard,active_fever,Jwara is among the Sneha-nindita states — CS Sutrasthana 13.,,,,
therapy,snehapana_home,hard,acute_pancreatitis,A fat load is directly contraindicated in pancreatitis.,,,,
therapy,snehapana_home,hard,diarrhea,Oleation loosens the Koshtha further.,,,,
therapy,snehapana_home,hard,diarrhoea,British spelling of the same finding.,,,,
therapy,snehapana_home,hard,gallstones,Ghee triggers gallbladder contraction and can impact a stone in the cystic duct.,,,,
therapy,snehapana_home,hard,high_ama,Snehapana over undigested Ama is the classical error — oil binds Ama deeper into the Srotas. `contraindication_matrix.high_ama` requires Deepana-Pachana first.,,,,
therapy,snehapana_home,hard,manda_agni,Weak Agni cannot digest the ghee; it becomes Ama itself. Dipana first.,,,,
therapy,snehapana_home,soft,diabetes_type2,Ghee delays gastric emptying and alters post-prandial glucose; monitor.,,,,
therapy,snehapana_home,soft,fatty_liver,Use the smallest effective dose and prefer Tikta Ghrita over plain ghee.,,,,
therapy,snehapana_home,soft,gerd,Fat relaxes the lower oesophageal sphincter and worsens reflux.,,,,
therapy,snehapana_home,soft,hypercholesterolemia,A daily escalating fat load needs lipid monitoring; use the minimum dose that produces Snigdha lakshana.,,,,
therapy,snehapana_home,soft,obesity,Kapha and Meda are already excessive; the KB prescribes Avara Snehana (max 60ml) with Sarshapa Taila or Trikatu-infused ghee instead of plain Ghrita.,,,,
therapy,snehapana_clinic,soft,elderly,"The escalating ladder reaches 120ml; in reduced Bala, cap the dose and extend the days instead.",,,,
therapy,shirodhara,hard,brain_tumor,Raised intracranial pressure is aggravated by the supine position held for 45 minutes.,,,,
therapy,shirodhara,hard,fever,Prolonged oil on the forehead in Jwara obstructs Srotas.,,,,
therapy,shirodhara,hard,head_injury_recent,Sustained pressure and oil on a recent skull or scalp injury.,,,,
therapy,shirodhara,hard,scalp_infection,Continuously recirculated oil spreads scalp infection.,,,,
therapy,shirodhara,soft,cervical_spondylosis,The neck is extended over the Dhara pot rim; support it or shorten the session.,,,,
therapy,shirodhara,soft,claustrophobia,The eyes are covered and the patient lies still for 45 minutes.,,,,
therapy,shirodhara,soft,hypotension,The deep parasympathetic response can drop blood pressure further — rise slowly.,,,,
therapy,shirodhara,soft,kapha_aggravation,Shirodhara is Kapha-increasing; for Kapha Vikriti use Takra Dhara (buttermilk) rather than oil.,,,,
therapy,shirodhara,soft,sinusitis,Lying supine for 45 minutes with congested sinuses is poorly tolerated.,,,,
therapy,udvartana,hard,atidurbala,Extreme depletion — as underweight.,,,,
therapy,udvartana,hard,bleeding_disorder,Friction causes purpura and subcutaneous bleeding.,,,,
therapy,udvartana,hard,eczema,Vigorous dry powder friction on inflamed skin causes excoriation.,,,,
therapy,udvartana,hard,emaciation,Atidurbala — as underweight.,,,,
therapy,udvartana,hard,open_wound,Dry powder into a wound is a direct infection risk.,,,,
therapy,udvartana,hard,psoriasis,Friction provokes the Koebner phenomenon — new plaques at the site.,,,,
therapy,udvartana,hard,underweight,Udvartana is Lekhana — it scrapes Meda. In Atidurbala there is nothing to remove and it depletes Dhatu.,,,,
therapy,udvartana,soft,dry_skin,Aggravates Rukshata; reduce pressure and follow with Abhyanga.,,,,
therapy,udvartana,soft,elderly,Thin skin tears under vigorous powder friction; reduce pressure.,,,,
therapy,udvartana,soft,pregnancy,Avoid the abdomen and lower back entirely; light limb Udvartana only.,,,,
therapy,udvartana,soft,varicose_veins,Do not work over the veins themselves.,,,,
therapy,udvartana,soft,vata_aggravation,The therapy is Ruksha and Vata-increasing — the KB's own dosha_effect scores it +1 for Vata. Follow with light oil.,,,,
therapy,samsarjana_krama_strict,hard,anorexia,Restrictive dietary protocols are contraindicated in eating disorders.,,,,
therapy,samsarjana_krama_strict,hard,bulimia,A prescribed purgative or restrictive protocol is contraindicated in bulimia.,,,,
therapy,samsarjana_krama_strict,hard,diabetes_type1,A graded mono-diet starting at thin Peya cannot cover insulin requirements without supervised dose adjustment.,,,,
therapy,samsarjana_krama_strict,hard,eating_disorder,A prescribed restrictive dietary ladder is contraindicated in anorexia and bulimia.,,,,
therapy,samsarjana_krama_strict,soft,atidurbala,Extreme depletion — as underweight.,,,,
therapy,samsarjana_krama_strict,soft,celiac,Standard Yusha recipes may contain barley — substitute rice preparations throughout.,,,,
therapy,samsarjana_krama_strict,soft,diabetes_type2,Carbohydrate load changes at every stage; monitor glucose and adjust medication with the treating physician.,,,,
therapy,samsarjana_krama_strict,soft,emaciation,Atidurbala — as underweight.,,,,
therapy,samsarjana_krama_strict,soft,pregnancy,Caloric restriction is not appropriate; use the mild version and skip the Peya stage.,,,,
therapy,samsarjana_krama_strict,soft,underweight,The strict ladder is hypocaloric for several days; use the mild Kitchari version instead.,,,,
therapy,samsarjana_krama_mild,soft,celiac,Use rice and moong only — avoid barley preparations.,,,,
therapy,samsarjana_krama_mild,soft,diabetes_type2,Kitchari is carbohydrate-dense; monitor glucose.,,,,
therapy,samsarjana_krama_mild,soft,kidney_disease,Moong dal is a protein load; portion it to the prescribed protein allowance.,,,,
therapy,rasayana_herbs,hard,pregnancy,"Rasayana formulations vary and several (Guggulu, Shilajit, Bhallataka) are contraindicated in pregnancy. Withhold pending individual selection by a Vaidya.",,,,
therapy,rasayana_herbs,soft,autoimmune,"Immunomodulatory Rasayana (Guduchi, Ashwagandha) may aggravate autoimmune activity; introduce singly.",,,,
therapy,rasayana_herbs,soft,chronic_kidney_disease,Shilajit and mineral Rasayana carry a mineral load that a reduced GFR cannot clear.,,,,
therapy,rasayana_herbs,soft,diabetes_type2,Chyawanprash is sugar-based — use the sugar-free preparation.,,,,
therapy,rasayana_herbs,soft,hemochromatosis,Chyawanprash and Amalaki are iron-rich and enhance iron absorption.,,,,
therapy,rasayana_herbs,soft,hyperthyroidism,Ashwagandha can raise thyroid hormone levels — avoid or monitor TFTs.,,,,
therapy,yoga_nidra,soft,psychosis,Deep guided inward attention is not appropriate in active psychosis.,,,,
therapy,yoga_nidra,soft,ptsd,Body-scan and prolonged stillness can trigger dissociation or flashbacks; offer eyes-open and a shorter form.,,,,
therapy,yoga_nidra,soft,severe_depression,Prolonged stillness without activation can deepen rumination; keep it short and pair with activity.,,,,
therapy,gentle_pranayama,soft,asthma,Stop at any tightness; do not extend the exhale beyond comfort.,,,,
therapy,gentle_pranayama,soft,epilepsy,Hyperventilation lowers the seizure threshold — keep the ratio even and never force.,,,,
therapy,gentle_pranayama,soft,glaucoma,Avoid breath retention — it raises intraocular pressure.,,,,
therapy,gentle_pranayama,soft,hypertension,Practise without breath retention (Kumbhaka) — retention raises blood pressure.,,,,
therapy,gentle_pranayama,soft,pregnancy,"Without retention, and stop if lightheaded.",,,,
therapy,gentle_pranayama,soft,recent_surgery,Deep diaphragmatic movement pulls on abdominal or thoracic wounds.,,,,
herb,Amalaki (Amla),hard,hemochromatosis,Vitamin C content markedly enhances non-haem iron absorption.,,,,
herb,Amalaki (Amla),soft,acid_reflux,"Sour (Amla Rasa) — take with food or after it, never on an empty stomach.",,,,
herb,Amalaki (Amla),soft,bleeding_disorder,Mild antiplatelet effect; stop a week before any procedure.,,,,
herb,Amalaki (Amla),soft,diabetes_type2,Lowers blood glucose; monitor with oral hypoglycaemics.,,,,
herb,Arjuna,soft,heart_disease,"Cardioactive — must be added to, never substituted for, prescribed cardiac medication.",,,,
herb,Arjuna,soft,hypotension,Mildly hypotensive and negatively chronotropic.,,,,
herb,Ashoka,soft,amenorrhea,"Raktasthambhaka (styptic) — indicated for heavy bleeding, and the wrong direction for absent menses.",,,,
herb,Ashoka,soft,fibroids,Phytoestrogenic — review with the treating physician where an oestrogen-sensitive tumour is present.,,,,
herb,Ashwagandha,hard,hyperthyroidism,Raises T3 and T4; adding it to a thyrotoxic state worsens it.,,,,
herb,Ashwagandha,hard,pregnancy,Traditionally abortifacient in higher doses; withheld pending Vaidya supervision.,,,,
herb,Ashwagandha,soft,autoimmune,Immunostimulant — may aggravate autoimmune activity. Introduce alone and monitor.,,,,
herb,Ashwagandha,soft,depression,Sedating at higher doses; take the evening dose only and review if fatigue worsens.,,,,
herb,Ashwagandha,soft,hypothyroidism,"Raises thyroid hormone, so thyroxine dose may need review — check TFTs at 6 weeks.",,,,
herb,Bilva,hard,constipation_chronic,"Grahi — binding, and aggravates constipation.",,,,
herb,Bilva,soft,diabetes_type2,Lowers blood glucose; monitor with oral hypoglycaemics.,,,,
herb,Brahmi (Bacopa),soft,asthma,Cholinergic effect may aggravate bronchospasm; stop at any tightness.,,,,
herb,Brahmi (Bacopa),soft,bradycardia,Can slow the heart rate further.,,,,
herb,Brahmi (Bacopa),soft,hypothyroidism,Raises T4 in animal studies — check TFTs if taken long term.,,,,
herb,Chyawanprash,soft,diabetes_type2,Sugar-based — use the sugar-free preparation and monitor glucose.,,,,
herb,Chyawanprash,soft,hemochromatosis,Amalaki-rich and therefore iron-absorption-enhancing.,,,,
herb,Dadima (Pomegranate),soft,hypertension,Inhibits CYP3A4 and can raise levels of several antihypertensives.,,,,
herb,Dashamoola,soft,pregnancy,Used postnatally in the tradition; during pregnancy only under Vaidya supervision.,,,,
herb,Guduchi (Tinospora),soft,autoimmune,Immunomodulatory — may aggravate autoimmune activity; introduce alone.,,,,
herb,Guduchi (Tinospora),soft,diabetes_type2,Lowers blood glucose; monitor with oral hypoglycaemics.,,,,
herb,Guduchi (Tinospora),soft,fatty_liver,Rare idiosyncratic hepatitis is reported with prolonged use; limit to 6 weeks and check LFTs.,,,,
herb,Guduchi (Tinospora),soft,hepatitis,As fatty liver — monitor LFTs and stop at any rise.,,,,
herb,Guggulu,hard,hyperthyroidism,Guggulsterones are thyroid-stimulating and worsen a thyrotoxic state.,,,,
herb,Guggulu,hard,ibd_crohns,Gastric irritant; aggravates active inflammatory bowel disease.,,,,
herb,Guggulu,hard,pregnancy,Uterine stimulant — contraindicated throughout pregnancy.,,,,
herb,Guggulu,hard,ulcerative_colitis,As IBD — irritant to inflamed bowel mucosa.,,,,
herb,Guggulu,soft,bleeding_disorder,Mild antiplatelet effect — avoid around any procedure.,,,,
herb,Guggulu,soft,gastritis,Take after food; Guggulu is a known gastric irritant.,,,,
herb,Guggulu,soft,hypothyroidism,"Thyroid-stimulating, so it may reduce the thyroxine requirement — check TFTs.",,,,
herb,Haridra (Turmeric),hard,gallstones,Stimulates gallbladder contraction and can impact a stone in the cystic duct.,,,,
herb,Haridra (Turmeric),soft,acid_reflux,Can aggravate reflux at higher doses; take with food.,,,,
herb,Haridra (Turmeric),soft,bleeding_disorder,Antiplatelet effect at therapeutic doses; stop before any procedure.,,,,
herb,Jatamansi,soft,depression,Sedating — take at night only and review if daytime fatigue worsens.,,,,
herb,Jatamansi,soft,hypotension,Sedative and mildly hypotensive; rise slowly.,,,,
herb,Kantakari,hard,pregnancy,Solanaceous and traditionally avoided in pregnancy.,,,,
herb,Kapikacchu (Mucuna),hard,parkinson,Contains L-DOPA. Taken alongside prescribed levodopa it stacks the dose unpredictably — a Vaidya and the treating neurologist must set this together.,,,,
herb,Kapikacchu (Mucuna),hard,psychosis,Dopaminergic — can precipitate or worsen psychosis.,,,,
herb,Kapikacchu (Mucuna),soft,depression,Dopaminergic; may interact with antidepressants — introduce alone.,,,,
herb,Khadiradi Vati,soft,dry_mouth,Astringent and drying; sip water between doses.,,,,
herb,Kutaja,hard,constipation_chronic,"Grahi (astringent, binding) — worsens constipation directly.",,,,
herb,Manjistha,hard,pregnancy,Emmenagogue — traditionally avoided in pregnancy.,,,,
herb,Manjistha,soft,chronic_kidney_disease,"Colours the urine red, which can mask haematuria — warn the patient and their physician.",,,,
herb,Punarnava,soft,chronic_kidney_disease,Diuretic — monitor electrolytes and fluid balance.,,,,
herb,Punarnava,soft,hypotension,Diuretic action can lower blood pressure further.,,,,
herb,Sarpagandha (Rauwolfia),hard,bipolar,As depression — reserpine can precipitate a depressive episode.,,,,
herb,Sarpagandha (Rauwolfia),hard,depression,"Reserpine depletes central monoamines and is a documented cause of drug-induced depression, including suicidality. This is the sharpest entry in the table: the formulation was previously given on a hypertension match with no check for a psychiatric history.",,,,
herb,Sarpagandha (Rauwolfia),hard,hypotension,Potent antihypertensive; the formulation's own caution field said so and nothing read it.,,,,
herb,Sarpagandha (Rauwolfia),hard,parkinson,Monoamine depletion worsens parkinsonism directly.,,,,
herb,Sarpagandha (Rauwolfia),hard,peptic_ulcer,Increases gastric acid secretion.,,,,
herb,Sarpagandha (Rauwolfia),hard,pregnancy,Crosses the placenta; associated with neonatal depression and nasal congestion.,,,,
herb,Sarpagandha (Rauwolfia),hard,ptsd,As depression — monoamine depletion in a patient with active psychiatric illness.,,,,
herb,Sarpagandha (Rauwolfia),soft,hypertension,"Only under qualified Vaidya supervision, and only if BP remains raised after Panchakarma — not as a first measure.",,,,
herb,Shankhpushpi,soft,epilepsy,Reported to reduce phenytoin levels — do not take within 2 hours of an anticonvulsant.,,,,
herb,Shankhpushpi,soft,hypotension,Mildly hypotensive and sedative.,,,,
herb,Shatapushpa,hard,pregnancy,Emmenagogue and uterine stimulant.,,,,
herb,Shatavari,hard,fibroids,Phytoestrogenic; contraindicated where an oestrogen-sensitive tumour is present.,,,,
herb,Shatavari,soft,obesity,Guru and Brimhana; increases Kapha and weight.,,,,
herb,Shatavari,soft,pcos,Phytoestrogenic — beneficial in Artava Kshaya but review with the treating physician in oestrogen-dominant PCOS.,,,,
herb,Shilajit,hard,chronic_kidney_disease,Mineral pitch with a substantial mineral and fulvic acid load that a reduced GFR cannot clear.,,,,
herb,Shilajit,hard,gout,Purine and mineral load can precipitate an attack.,,,,
herb,Shilajit,hard,hemochromatosis,Iron-rich; contraindicated where iron already accumulates.,,,,
herb,Shilajit,hard,kidney_disease,As chronic kidney disease — mineral load requires intact renal clearance.,,,,
