condition,claim,food,food_id,prep_state,rasa,guna,virya,vipaka,dosha_effect,prabhava,classical_entry,screen_rule,screen_saw,claim_ok,should_be,vaidya_notes
acidity,apathya,Eranda-karkati (Raw Papaya),raw_papaya,unripe,astringent; bitter,laghu; tikshna; ruksha,heating,pungent,V+1 P+1 K-2,"Bhedana and a uterine stimulant — unripe papaya carries the action far more strongly than the ripe fruit, which is the whole basis of the pregnancy bar.",bhavaprakasha,,,,,
acidity,apathya,Flax Milk,flax_milk,prepared,sweet; astringent,guru; snigdha; picchila,heating,pungent,V-1 P+1 K+0,"Atasi is ushna virya and katu vipaka against a madhura-kashaya rasa, and Pitta-vardhaka with it — the classical caution on flax, which is why it is a Vata-Kapha seed and not a cooling one. Cited for the seed; carried to the milk by extrapolation.",no — extrapolated,,,,,
acidity,apathya,Garjara (Carrot),carrot,cooked,sweet; bitter,laghu; ruksha,heating,pungent,V-1 P+1 K-1,"Deepana and Grahi — Garjara is warming and binding, which is why it is a winter root and not the cooling one its madhura rasa suggests.",bhavaprakasha,,,,,
acidity,apathya,Green Tea,green_tea,prepared,astringent; bitter,laghu; ruksha,heating,pungent,V+1 P+0 K-2,,no — extrapolated,,,,,
acidity,apathya,Hemp Seeds,hemp_seeds,raw,sweet; astringent,guru; snigdha,heating,sweet,V-1 P+1 K+1,,no — extrapolated,,,,,
acidity,apathya,Kaju (Cashews),cashews,raw,sweet,guru; snigdha,heating,sweet,V-2 P+2 K+2,The one sweet nut the texts warn against in Pitta — Kaju is ushna and Vidahi where its madhura rasa says it should cool.,bhavaprakasha,,,,,
acidity,apathya,Kanda (Yam),yam,cooked,sweet; astringent,guru; ruksha,heating,sweet,V-1 P+1 K-1,"Arshoghna — Surana is the classical haemorrhoid remedy, the action it is named for and one no part of its rasa predicts.",bhavaprakasha,,,,,
acidity,apathya,Katuvira (Capsicum),capsicum_bell_pepper,cooked,pungent; sweet,laghu; ruksha,heating,pungent,V-1 P+1 K-1,,no — extrapolated,,,,,
acidity,apathya,Kiwi,kiwi,ripe,sweet; sour,laghu; snigdha,cooling,sour,V-1 P+0 K+0,,no — extrapolated,,,,,
acidity,apathya,Kuttu (Buckwheat),buckwheat,cooked,sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+1 K-1,Ushna virya and Pitta-vardhaka against a rasa that would pacify Pitta — the reason Kuttu is a Vrata grain for cold months and sits badly in Grishma.,no — extrapolated,,,,,
acidity,apathya,Lasuna (Garlic),garlic,cooked,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+2 K-2,Rasayana for Vata and the classical Amavata medicine — Lasuna carries five of the six rasas and is prescribed where its katu rasa alone would bar it.,bhavaprakasha,,,,,
acidity,apathya,Makka (Sweet Corn),corn,cooked,sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K-1,"Ushna despite madhura rasa, and guru while ruksha — the combination that makes Makka hard on Vata and on a weak Agni both.",bhavaprakasha,,,,,
acidity,apathya,Makka (Sweet Corn),corn_sweet,cooked,sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K-1,,bhavaprakasha,,,,,
acidity,apathya,Mandapi (Peanuts),peanuts,raw,sweet; astringent,guru; snigdha,heating,sweet,V-1 P+2 K+2,"Ushna and Vidahi against a madhura rasa — the peanut heats and burns where its rasa says it should cool, which is the classical caution and the reason it is withheld in Amlapitta and Kushtha.",bhavaprakasha,,,,,
acidity,apathya,Mandapi (Roasted Peanuts),peanuts_roasted,roasted,sweet; astringent,guru; ruksha; tikshna,heating,sweet,V-1 P+2 K+1,"Roasting turns Mandapi ruksha and more Vidahi than the raw seed — the same dravya, a sharper one, and the reason roasted peanuts sit worse in Amlapitta than boiled ones.",bhavaprakasha,,,,,
acidity,apathya,Maricha (Black Pepper),black_pepper,prepared,pungent,laghu; tikshna; ruksha,heating,pungent,V-1 P+2 K-2,"Vata-kapha hara at culinary dose, where the deepana action dominates the Vata-raising tendency of katu rasa. In quantity the rasa wins — which is why Maricha is classically a pinch and not a spoon.",bhavaprakasha,,,,,
acidity,apathya,Masha (Urad Dal),urad_dal,cooked,sweet,guru; snigdha; picchila,heating,sweet,V-2 P+2 K+2,"Ushna virya and Pitta-vardhaka against a madhura rasa that pacifies Pitta by rule — Masha is Balya and Vrishya, the strength-building legume, and the pole opposite Mudga in this varga. It is the black gram named first in the Amavata Apathya.",bhavaprakasha,,,,,
acidity,apathya,Mastu (Whey),whey,prepared,sour; astringent,laghu; ruksha,heating,sour,V-1 P+0 K-1,"Srotoshodhaka — it clears the channels, which is why the watery part of curd is given where curd itself blocks them.",bhavaprakasha,,,,,
acidity,apathya,Masura (Masoor Dal),masoor_dal,cooked,sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+0 K-1,"Grahi — it binds the stool, which is why Masura is given in loose motions and is the legume withheld in constipation.",bhavaprakasha,,,,,
acidity,apathya,Methika Patra (Fenugreek Leaves),methi_fenugreek_leaves,cooked,bitter; astringent,laghu; ruksha,heating,pungent,V-1 P+1 K-2,"Deepana and Vata-hara despite a tikta-kashaya rasa that raises Vata by rule — the leaf is warming where the rasa is not, which is why Methi greens are a winter Shaka.",bhavaprakasha,,,,,
acidity,apathya,Nagaranga (Orange),orange,ripe,sweet; sour,laghu; snigdha,cooling,sweet,V-1 P+0 K+1,,bhavaprakasha,,,,,
acidity,apathya,Nimbu Jala (Lemon Water),lemon_water,prepared,sour,laghu; ruksha,heating,sour,V-1 P+1 K-1,"Kapha-hara despite amla rasa, which raises Kapha by rule. Nimbu's laghu-ruksha guna and its deepana-lekhana action govern — the reason warm lemon water is the classical morning drink for Ama and not a Kapha-aggravating one.",bhavaprakasha,,,,,
acidity,apathya,Palandu (Onion),onion,cooked,pungent; sweet,guru; snigdha; tikshna,heating,pungent,V-1 P+2 K-1,,bhavaprakasha,,,,,
acidity,apathya,Palanki (Beetroot),beetroot,cooked,sweet,guru; snigdha,heating,sweet,V-1 P+1 K+1,,bhavaprakasha,,,,,
acidity,apathya,Paratha,paratha,cooked,sweet,guru; snigdha; sthira,heating,sweet,V-2 P+1 K+2,"Pitta-vardhaka against a madhura rasa that pacifies Pitta by rule. The preparation decides: sneha taken to griddle heat turns the virya ushna, which is Vidahi — the same reason fried food is the first Apathya named in Amlapitta.",no — extrapolated,,,,,
acidity,apathya,Pineapple,pineapple,ripe,sweet; sour,guru; tikshna,heating,sour,V-1 P+1 K-1,,no — extrapolated,,,,,
acidity,apathya,Pistachios,pistachios,raw,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,,bhavaprakasha,,,,,
acidity,apathya,Raktaphala (Tomato),tomato,raw,sour; sweet,laghu; snigdha,heating,sour,V-1 P+2 K-1,,no — extrapolated,,,,,
acidity,apathya,Sarshapa Taila (Mustard Oil),mustard_oil,prepared,pungent; bitter,laghu; snigdha; tikshna,heating,pungent,V-1 P+2 K-2,"Vata-hara despite katu-tikta rasa: it is a sneha, and the oleating quality reaches Vata where the rasa alone would raise it. Classically kapha-vata hara and decidedly Pitta-vardhaka.",bhavaprakasha,,,,,
acidity,apathya,Shigru (Drumstick / Moringa),drumstick_moringa,cooked,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,"Shothahara and Krimighna — Shigru is the anti-inflammatory Shaka, given in Amavata and in Shotha where a katu-tikta vegetable would otherwise be avoided for Vata.",bhavaprakasha,,,,,
acidity,apathya,Shunthi (Dry Ginger),ginger_dry_saunth,prepared,pungent,laghu; snigdha,heating,sweet,V-2 P+1 K-2,"Madhura vipaka despite katu rasa — the classical exception for Shunthi, and the reason dry ginger nourishes where fresh Ardraka only stimulates. The same action makes it vata-hara where katu rasa alone would raise Vata.",bhavaprakasha,,,,,
acidity,apathya,Shunthi Kwatha (Ginger Tea),ginger_tea,prepared,pungent,laghu; snigdha,heating,sweet,V-2 P+1 K-2,"Made from Shunthi, and carries its exception: madhura vipaka despite katu rasa, and vata-hara where the rasa alone would raise Vata.",bhavaprakasha,,,,,
acidity,apathya,Sunflower Seeds,sunflower_seeds,raw,sweet,guru; snigdha,heating,sweet,V-1 P+1 K+1,,no — extrapolated,,,,,
acidity,apathya,Takra (Buttermilk),buttermilk_chaas,prepared,sour; astringent,laghu; ruksha,heating,sour,V-1 P+0 K-1,"Grahi and deepana — the classical Grahani medicine, and the reason Takra is prescribed where Dadhi, made from the same milk, is withheld (Charaka Chikitsa 15).",bhavaprakasha,,,,,
acidity,apathya,Tila (Sesame Seeds),sesame_seeds_til,raw,sweet; bitter; astringent,guru; snigdha,heating,pungent,V-2 P+1 K+1,"Balya and Vata-hara, and the Kushtha caution that comes with it — Tila with milk is named Viruddha in the Kushtha Nidana (Charaka Chikitsa 7).",bhavaprakasha,,,,,
acidity,apathya,Tila Taila (Sesame Oil),sesame_oil,prepared,sweet; bitter; astringent,guru; snigdha; tikshna,heating,pungent,V-2 P+1 K+1,"Pitta-vardhaka despite a rasa set that is entirely Pitta-pacifying — the ushna virya governs here, which is why Tila Taila is the Vata oil and not the Pitta one.",bhavaprakasha,,,,,
acidity,apathya,Tulsi Tea,tulsi_tea,prepared,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,"Hridya and Rasayana — Tulsi's specific action carries it past what its katu-tikta rasa alone would do, which is why it is given as a daily drink and Maricha is not.",bhavaprakasha,,,,,
acidity,apathya,Whole Wheat Bread,bread_whole_wheat,fermented,sweet; sour,guru; ruksha; sthira,heating,sour,V+1 P+1 K+2,"Vata-vardhaka against a madhura-amla rasa that pacifies Vata by rule. Yeast fermentation makes the loaf ruksha and khara where the wheat was snigdha, and Vata follows the guna here rather than the rasa — the same reason dry, aerated food is withheld in Vata disorders.",no — extrapolated,,,,,
acidity,apathya,Yavani (Ajwain),ajwain,prepared,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-2 P+1 K-2,Vata-anulomana and shula-prashamana — the classical carminative. It clears the Anaha through which its own katu-tikta rasa would aggravate Vata.,bhavaprakasha,,,,,
acidity,pathya,Alabu (Bottle Gourd),bottle_gourd,cooked,sweet,laghu; snigdha; drava,cooling,sweet,V+0 P-2 K-1,"Laghu and Mutrala where a madhura, snigdha dravya would be neither — which is why Alabu is the gourd given in fever, in convalescence and to a weak Agni.",bhavaprakasha,,,,,
acidity,pathya,Almond Milk,almond_milk,prepared,sweet,laghu; snigdha,cooling,sweet,V-1 P-1 K+1,,no — extrapolated,,,,,
acidity,pathya,Amalaki (Amla),amla,ripe,sour; astringent; sweet,laghu; ruksha,cooling,sweet,V-1 P-2 K-1,Amla rasa with shita virya and madhura vipaka — the combination is unique to Amalaki and is why the one sour fruit in the pharmacopoeia is given freely in Pitta. Rasayana and tridoshaghna.,bhavaprakasha,,,,,
acidity,pathya,Anjeera (Figs),figs,ripe,sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+1,,bhavaprakasha,,,,,
acidity,pathya,Asparagus,asparagus,cooked,sweet; bitter,guru; snigdha,cooling,sweet,V-1 P-2 K+0,,no — extrapolated,,,,,
acidity,pathya,Chia Seeds,chia_seeds,raw,sweet; astringent,guru; picchila; snigdha,cooling,sweet,V-1 P-1 K+0,,no — extrapolated,,,,,
acidity,pathya,Coconut Cream,coconut_cream,prepared,sweet,guru; snigdha; picchila,cooling,sweet,V-2 P-2 K+2,,bhavaprakasha,,,,,
acidity,pathya,Dadima (Pomegranate),pomegranate,ripe,sweet; sour; astringent,laghu; snigdha,cooling,sweet,V-1 P-1 K-1,"Tridoshaghna and Hridya — the sweet Dadima is one of the few fruits the texts give to all three Doshas, and the one prescribed in Grahani and in convalescence.",bhavaprakasha,,,,,
acidity,pathya,Dhanyaka (Coriander Seed),coriander_dhania,prepared,astringent; bitter; sweet,laghu; snigdha,heating,sweet,V-1 P-1 K-1,"Tridoshaghna, and Pitta-shamaka in effect despite ushna virya — the action the texts attribute to Dhanyaka specifically, which is why it is the one warm spice given freely in Pitta conditions.",bhavaprakasha,,,,,
acidity,pathya,Draksha (Grapes),grapes,ripe,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,"Phalottama — the texts call Draksha the best of fruits and give it in all three Doshas, which no other madhura, guru fruit here earns.",bhavaprakasha,,,,,
acidity,pathya,Ela (Green Cardamom),cardamom_elaichi,prepared,pungent; sweet,laghu; ruksha,cooling,sweet,V-1 P-1 K-1,Shita virya despite katu rasa — the classical exception that makes Ela the aromatic given in Pitta conditions where Maricha and Twak are barred.,bhavaprakasha,,,,,
acidity,pathya,Godugdha (Cow's Milk),milk_full_fat,prepared,sweet,guru; snigdha; manda; picchila,cooling,sweet,V-2 P-2 K+2,Ojas-vardhaka and Rasayana — the action that makes milk a therapy rather than a food (Charaka Sutrasthana 27).,bhavaprakasha,,,,,
acidity,pathya,Goghrita (Cow's Ghee),ghee_oil,prepared,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,"Agni-deepana while being snigdha and guru — the classical exception that makes Ghrita the one fat given to a weak Agni rather than withheld from it (Charaka Sutrasthana 13). Vata-Pitta hara, Ojas-vardhaka.",bhavaprakasha,,,,,
acidity,pathya,Goghrita (Cow's Ghee),ghee,prepared,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,Agni-deepana while being snigdha and guru — the classical exception that makes Ghrita the one fat given to a weak Agni rather than withheld from it (Charaka Sutrasthana 13). Ojas-vardhaka.,bhavaprakasha,,,,,
acidity,pathya,Kadali (Banana),banana,ripe,sweet; astringent,guru; snigdha; picchila,cooling,sour,V-1 P+0 K+2,"Amla vipaka against a madhura-kashaya rasa — the classical exception for Kadali, and the reason banana with milk is named Viruddha.",bhavaprakasha,,,,,
acidity,pathya,Kalinga (Watermelon),watermelon,ripe,sweet,guru; snigdha; drava,cooling,sweet,V+1 P-2 K+1,"Mutrala — the diuretic action is why Kalinga is given in Grishma and in urinary heat, and why it is not simply a heavy sweet fruit.",bhavaprakasha,,,,,
acidity,pathya,Kamala Kanda (Lotus Stem),lotus_stem,cooked,sweet; astringent,guru; ruksha,cooling,sweet,V+1 P-1 K+0,,bhavaprakasha,,,,,
acidity,pathya,Kharbuja Bija (Melon Seeds / Magaz),melon_seeds_magaz,raw,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+1,"Mutrala and Pittahara — one of the Chatur Bija, given for urinary heat where its guru-snigdha guna alone would suggest otherwise.",bhavaprakasha,,,,,
acidity,pathya,Kharjura (Dates),dates,ripe,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+2,"Brimhana and Balya — Kharjura is the classical convalescent fruit, given to rebuild after depletion where its guru guna would otherwise argue against it.",bhavaprakasha,,,,,
acidity,pathya,Kushmanda (Pumpkin),pumpkin,cooked,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+1,"Medhya and Hridya — Kushmanda is the Rasayana gourd, given in mental and cardiac depletion, which is not an action any of its qualities predict.",bhavaprakasha,,,,,
acidity,pathya,Lassi (Sweetened Takra),lassi,prepared,sweet; sour,guru; snigdha,cooling,sweet,V-1 P-1 K+2,"Sweetening and thickening reverse Takra's action: sweet Lassi is guru and Kapha-vardhaka where the Takra it is made from is laghu and Kapha-hara. The preparation, not the milk, decides.",bhavaprakasha,,,,,
acidity,pathya,Mishreya (Fennel),fennel_saunf,prepared,sweet; bitter; pungent,laghu; snigdha,heating,sweet,V-1 P-1 K+0,,bhavaprakasha,,,,,
acidity,pathya,Mosambi (Sweet Lime),mosambi_sweet_lime,ripe,sweet; sour,laghu; snigdha,cooling,sweet,V-1 P-1 K+1,,bhavaprakasha,,,,,
acidity,pathya,Narikela (Fresh Coconut),coconut,ripe,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+2,,bhavaprakasha,,,,,
acidity,pathya,Narikela Jala (Tender Coconut Water),coconut_water,prepared,sweet,laghu; snigdha,cooling,sweet,V-1 P-2 K+0,,bhavaprakasha,,,,,
acidity,pathya,Narikela Ksheera (Coconut Milk),coconut_milk,prepared,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+2,,bhavaprakasha,,,,,
acidity,pathya,Narikela Taila (Coconut Oil),coconut_oil,prepared,sweet,guru; snigdha; manda,cooling,sweet,V-1 P-2 K+1,,bhavaprakasha,,,,,
acidity,pathya,Oats Porridge,oats,cooked,sweet; astringent,guru; picchila; snigdha,cooling,sweet,V-1 P-1 K+1,,no — extrapolated,,,,,
acidity,pathya,Padmabija (Makhana / Fox Nuts),fox_nuts_makhana,roasted,sweet; astringent,guru; snigdha; sthira,cooling,sweet,V-1 P-1 K+1,"Garbhasthapana and Vrishya — Makhana is the one nut given freely in pregnancy, which is why it is here and Kaju is not.",bhavaprakasha,,,,,
acidity,pathya,"Prithuka (Poha, Cooked)",poha,cooked,sweet,laghu; picchila,cooling,sweet,V-1 P-1 K+1,,bhavaprakasha,,,,,
acidity,pathya,"Seva (Apple, Raw)",apple,raw,sweet; astringent,guru; ruksha,cooling,sweet,V+1 P-1 K+0,,bhavaprakasha,,,,,
acidity,pathya,Shali (Basmati Rice),basmati_rice,cooked,sweet,laghu; snigdha; mridu,cooling,sweet,V-1 P-1 K+1,"Purana Shali — aged rice — is laghu where new rice is guru, which is why the texts specify the age.",bhavaprakasha,,,,,
acidity,pathya,Strawberry,strawberry,ripe,sweet; sour,laghu; snigdha,cooling,sour,V-1 P-1 K+0,,no — extrapolated,,,,,
acidity,pathya,Trapusha (Cucumber),cucumber,raw,sweet,guru; snigdha; drava,cooling,sweet,V+1 P-2 K+1,,bhavaprakasha,,,,,
acidity,pathya,White Rice,white_rice,cooked,sweet,laghu; picchila,cooling,sweet,V-1 P-1 K+2,,bhavaprakasha,,,,,
acidity,pathya,Zucchini,zucchini,cooked,sweet,laghu; drava,cooling,sweet,V+0 P-1 K+0,,no — extrapolated,,,,,
amavata,apathya,Aluka (Potato),potato,cooked,sweet,guru; ruksha,cooling,sweet,V+2 P-1 K+1,"Vata-vardhaka despite madhura rasa and against shita virya, which would raise Vata anyway — Aluka is Vatala in the texts, the standard caution on the tuber, and the reason it is cooked with ajwain.",bhavaprakasha,,,,,
amavata,apathya,Amra (Raw Mango),raw_mango,unripe,sour; astringent,laghu; ruksha,heating,sour,V+1 P+2 K-1,,bhavaprakasha,,,,,
amavata,apathya,Arbi (Colocasia),colocasia_arbi,cooked,sweet; astringent,guru; picchila,cooling,sweet,V+2 P-1 K+2,,bhavaprakasha,,,,,
amavata,apathya,Cabbage,cabbage,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,,,,,
amavata,apathya,Cauliflower,cauliflower,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,,,,,
amavata,apathya,Chanaka (Kabuli Chana),chhole,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,bhavaprakasha,,,,,
amavata,apathya,Coconut Yogurt,coconut_yogurt,prepared,sweet; sour,guru; snigdha,heating,sour,V-1 P+1 K+1,,no — extrapolated,,,,,
amavata,apathya,Dadhi (Curd),curd_yogurt,prepared,sour; sweet,guru; snigdha; picchila,heating,sour,V-1 P+2 K+2,,bhavaprakasha,,,,,
amavata,apathya,Gavar (Cluster Beans),cluster_beans_gavar,cooked,astringent; sweet; bitter,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,bhavaprakasha,,,,,
amavata,apathya,Kalaya (Green Peas),green_peas,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,bhavaprakasha,,,,,
amavata,apathya,Kidney Beans,kidney_beans,cooked,sweet; astringent,guru; ruksha; sthira,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,,,,,
amavata,apathya,Masha (Urad Dal),urad_dal,cooked,sweet,guru; snigdha; picchila,heating,sweet,V-2 P+2 K+2,"Ushna virya and Pitta-vardhaka against a madhura rasa that pacifies Pitta by rule — Masha is Balya and Vrishya, the strength-building legume, and the pole opposite Mudga in this varga. It is the black gram named first in the Amavata Apathya.",bhavaprakasha,,,,,
amavata,apathya,Mudga (Sprouted Moong),sprouted_moong,sprouted,sweet; astringent,laghu; ruksha; chala,cooling,pungent,V+2 P-1 K-1,,bhavaprakasha,,,,,
amavata,apathya,Mushroom,mushroom,cooked,sweet; astringent,guru; picchila,cooling,pungent,V+1 P-1 K+1,,bhavaprakasha,,,,,
amavata,apathya,Nagaranga (Orange),orange,ripe,sweet; sour,laghu; snigdha,cooling,sweet,V-1 P+0 K+1,,bhavaprakasha,,,,,
amavata,apathya,Nimbu Jala (Lemon Water),lemon_water,prepared,sour,laghu; ruksha,heating,sour,V-1 P+1 K-1,"Kapha-hara despite amla rasa, which raises Kapha by rule. Nimbu's laghu-ruksha guna and its deepana-lekhana action govern — the reason warm lemon water is the classical morning drink for Ama and not a Kapha-aggravating one.",bhavaprakasha,,,,,
amavata,apathya,Nutritional Yeast,nutritional_yeast,prepared,astringent; bitter,laghu; ruksha,heating,pungent,V+1 P+0 K-2,,no — extrapolated,,,,,
amavata,apathya,Palakya (Palak),palak,cooked,sweet; astringent; bitter,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,bhavaprakasha,,,,,
amavata,apathya,Palakya (Spinach),spinach,cooked,sweet; astringent; bitter,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,bhavaprakasha,,,,,
amavata,apathya,Pineapple,pineapple,ripe,sweet; sour,guru; tikshna,heating,sour,V-1 P+1 K-1,,no — extrapolated,,,,,
amavata,apathya,Rajma (Kidney Beans),rajma,cooked,sweet; astringent,guru; ruksha; sthira,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,,,,,
amavata,apathya,Raktaphala (Tomato),tomato,raw,sour; sweet,laghu; snigdha,heating,sour,V-1 P+2 K-1,,no — extrapolated,,,,,
amavata,apathya,Tempeh,tempeh,fermented,sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K+0,,no — extrapolated,,,,,
amavata,apathya,Trapusha (Cucumber),cucumber,raw,sweet,guru; snigdha; drava,cooling,sweet,V+1 P-2 K+1,,bhavaprakasha,,,,,
amavata,apathya,Whole Wheat Bread,bread_whole_wheat,fermented,sweet; sour,guru; ruksha; sthira,heating,sour,V+1 P+1 K+2,"Vata-vardhaka against a madhura-amla rasa that pacifies Vata by rule. Yeast fermentation makes the loaf ruksha and khara where the wheat was snigdha, and Vata follows the guna here rather than the rasa — the same reason dry, aerated food is withheld in Vata disorders.",no — extrapolated,,,,,
amavata,pathya,Ardraka (Fresh Ginger),ginger,fresh,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+1 K-2,Ardraka is guru and snigdha with katu vipaka where dried Shunthi is laghu with madhura vipaka. Fresh and dry are two dravyas and the texts prescribe them differently — this row and `ginger_dry_saunth` are that distinction.,bhavaprakasha,,,,,
amavata,pathya,Haridra (Turmeric),turmeric,prepared,bitter; pungent,ruksha; laghu,heating,pungent,V+0 P-1 K-2,,bhavaprakasha,,,,,
amavata,pathya,Hemp Seeds,hemp_seeds,raw,sweet; astringent,guru; snigdha,heating,sweet,V-1 P+1 K+1,,no — extrapolated,,,,,
amavata,pathya,Lasuna (Garlic),garlic,cooked,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+2 K-2,Rasayana for Vata and the classical Amavata medicine — Lasuna carries five of the six rasas and is prescribed where its katu rasa alone would bar it.,bhavaprakasha,,,,,
amavata,pathya,Methika (Fenugreek Seed),fenugreek_seeds_methi,prepared,bitter; pungent,laghu; snigdha,heating,pungent,V-1 P+1 K-2,Vata-kapha hara — the snigdha guna offsets the ruksha tendency its tikta-katu rasa would otherwise carry into Vata.,bhavaprakasha,,,,,
amavata,pathya,Methika Patra (Fenugreek Leaves),methi_fenugreek_leaves,cooked,bitter; astringent,laghu; ruksha,heating,pungent,V-1 P+1 K-2,"Deepana and Vata-hara despite a tikta-kashaya rasa that raises Vata by rule — the leaf is warming where the rasa is not, which is why Methi greens are a winter Shaka.",bhavaprakasha,,,,,
amavata,pathya,Mudga (Yellow Moong Dal),moong_dal_yellow,cooked,sweet; astringent,laghu; ruksha,cooling,pungent,V+0 P-1 K-1,"Shreshtha among the Shimbi — the one legume the texts call tridoshaghna and prescribe in fever, in convalescence and to a weak Agni, where every other legume in this varga is withheld.",bhavaprakasha,,,,,
amavata,pathya,Shigru (Drumstick / Moringa),drumstick_moringa,cooked,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,"Shothahara and Krimighna — Shigru is the anti-inflammatory Shaka, given in Amavata and in Shotha where a katu-tikta vegetable would otherwise be avoided for Vata.",bhavaprakasha,,,,,
