food,food_id,category,stated_prabhava,rasa,guna,virya,vipaka,dosha_effect,source,prabhava_ok,should_be,vaidya_notes
Kharjura (Dates),dates,fruit,"Brimhana and Balya — Kharjura is the classical convalescent fruit, given to rebuild after depletion where its guru guna would otherwise argue against it.",sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+2,bhavaprakasha,,,
Bajra (Pearl Millet),millet_bajra,grain,"Ushna virya and Pitta-vardhaka against a madhura-kashaya rasa that would pacify Pitta by rule — the classical caution on Bajra, and why it is a winter grain and not a summer one.",sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+1 K-2,bhavaprakasha,,,
Godhuma (Whole Wheat Roti),roti_whole_wheat,grain,"Brimhana and Jivana — wheat builds tissue, which is the action that makes it Vata's staple and Kapha's burden at the same time.",sweet,guru; snigdha; sthira,cooling,sweet,V-2 P-1 K+2,bhavaprakasha,,,
Kuttu (Buckwheat),buckwheat,grain,Ushna virya and Pitta-vardhaka against a rasa that would pacify Pitta — the reason Kuttu is a Vrata grain for cold months and sits badly in Grishma.,sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+1 K-1,modern_extrapolated,,,
Makka (Sweet Corn),corn,grain,"Ushna despite madhura rasa, and guru while ruksha — the combination that makes Makka hard on Vata and on a weak Agni both.",sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K-1,bhavaprakasha,,,
Paratha,paratha,grain,"Pitta-vardhaka against a madhura rasa that pacifies Pitta by rule. The preparation decides: sneha taken to griddle heat turns the virya ushna, which is Vidahi — the same reason fried food is the first Apathya named in Amlapitta.",sweet,guru; snigdha; sthira,heating,sweet,V-2 P+1 K+2,modern_extrapolated,,,
"Prithuka (Rice Flakes, Dry)",rice_flakes,grain,"Prithuka is guru and Kapha-vardhaka in Bhavaprakasha despite coming from laghu Shali — the flattening and drying change the dravya, so the dry flake and the cooked dish do not share a guna.",sweet,guru; picchila,cooling,sweet,V-1 P-1 K+2,bhavaprakasha,,,
Shali (Basmati Rice),basmati_rice,grain,"Purana Shali — aged rice — is laghu where new rice is guru, which is why the texts specify the age.",sweet,laghu; snigdha; mridu,cooling,sweet,V-1 P-1 K+1,bhavaprakasha,,,
Whole Wheat Bread,bread_whole_wheat,grain,"Vata-vardhaka against a madhura-amla rasa that pacifies Vata by rule. Yeast fermentation makes the loaf ruksha and khara where the wheat was snigdha, and Vata follows the guna here rather than the rasa — the same reason dry, aerated food is withheld in Vata disorders.",sweet; sour,guru; ruksha; sthira,heating,sour,V+1 P+1 K+2,modern_extrapolated,,,
Yava (Barley),barley,grain,"Medohara and Kapha-hara despite madhura rasa — the textbook Prabhava, and the reason Yava is the grain prescribed in Sthaulya and Prameha while Shali is withheld.",sweet; astringent,laghu; ruksha; chala,cooling,pungent,V+1 P-1 K-2,bhavaprakasha,,,
Mandapi (Peanuts),peanuts,legume,"Ushna and Vidahi against a madhura rasa — the peanut heats and burns where its rasa says it should cool, which is the classical caution and the reason it is withheld in Amlapitta and Kushtha.",sweet; astringent,guru; snigdha,heating,sweet,V-1 P+2 K+2,bhavaprakasha,,,
Masha (Urad Dal),urad_dal,legume,"Ushna virya and Pitta-vardhaka against a madhura rasa that pacifies Pitta by rule — Masha is Balya and Vrishya, the strength-building legume, and the pole opposite Mudga in this varga. It is the black gram named first in the Amavata Apathya.",sweet,guru; snigdha; picchila,heating,sweet,V-2 P+2 K+2,bhavaprakasha,,,
Masura (Masoor Dal),masoor_dal,legume,"Grahi — it binds the stool, which is why Masura is given in loose motions and is the legume withheld in constipation.",sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+0 K-1,bhavaprakasha,,,
Mudga (Yellow Moong Dal),moong_dal_yellow,legume,"Shreshtha among the Shimbi — the one legume the texts call tridoshaghna and prescribe in fever, in convalescence and to a weak Agni, where every other legume in this varga is withheld.",sweet; astringent,laghu; ruksha,cooling,pungent,V+0 P-1 K-1,bhavaprakasha,,,
Atasi (Flax Seeds),flax_seeds,nut_seed,"Ushna virya and katu vipaka against a madhura-kashaya rasa — the classical caution on Atasi, and why it is a Vata-Kapha seed rather than a cooling one.",sweet; astringent,guru; snigdha; picchila,heating,pungent,V-2 P+1 K+0,bhavaprakasha,,,
Badama (Almonds),almonds,nut_seed,"Medhya, Balya and Vrishya — the actions that make Badama a Rasayana rather than a fat, and the reason it is soaked and peeled before use.",sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,bhavaprakasha,,,
Kaju (Cashews),cashews,nut_seed,The one sweet nut the texts warn against in Pitta — Kaju is ushna and Vidahi where its madhura rasa says it should cool.,sweet,guru; snigdha,heating,sweet,V-2 P+2 K+2,bhavaprakasha,,,
Kharbuja Bija (Melon Seeds / Magaz),melon_seeds_magaz,nut_seed,"Mutrala and Pittahara — one of the Chatur Bija, given for urinary heat where its guru-snigdha guna alone would suggest otherwise.",sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+1,bhavaprakasha,,,
Kushmanda Bija (Pumpkin Seeds),pumpkin_seeds,nut_seed,"Krimighna and Mutrala — the anthelmintic and diuretic actions the texts give Kushmanda seed, neither of which follows from its rasa.",sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+1,bhavaprakasha,,,
Mandapi (Roasted Peanuts),peanuts_roasted,nut_seed,"Roasting turns Mandapi ruksha and more Vidahi than the raw seed — the same dravya, a sharper one, and the reason roasted peanuts sit worse in Amlapitta than boiled ones.",sweet; astringent,guru; ruksha; tikshna,heating,sweet,V-1 P+2 K+1,bhavaprakasha,,,
Padmabija (Makhana / Fox Nuts),fox_nuts_makhana,nut_seed,"Garbhasthapana and Vrishya — Makhana is the one nut given freely in pregnancy, which is why it is here and Kaju is not.",sweet; astringent,guru; snigdha; sthira,cooling,sweet,V-1 P-1 K+1,bhavaprakasha,,,
Tila (Sesame Seeds),sesame_seeds_til,nut_seed,"Balya and Vata-hara, and the Kushtha caution that comes with it — Tila with milk is named Viruddha in the Kushtha Nidana (Charaka Chikitsa 7).",sweet; bitter; astringent,guru; snigdha,heating,pungent,V-2 P+1 K+1,bhavaprakasha,,,
Goghrita (Cow's Ghee),ghee_oil,oil,"Agni-deepana while being snigdha and guru — the classical exception that makes Ghrita the one fat given to a weak Agni rather than withheld from it (Charaka Sutrasthana 13). Vata-Pitta hara, Ojas-vardhaka.",sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,bhavaprakasha,,,
Sarshapa Taila (Mustard Oil),mustard_oil,oil,"Vata-hara despite katu-tikta rasa: it is a sneha, and the oleating quality reaches Vata where the rasa alone would raise it. Classically kapha-vata hara and decidedly Pitta-vardhaka.",pungent; bitter,laghu; snigdha; tikshna,heating,pungent,V-1 P+2 K-2,bhavaprakasha,,,
Tila Taila (Sesame Oil),sesame_oil,oil,"Pitta-vardhaka despite a rasa set that is entirely Pitta-pacifying — the ushna virya governs here, which is why Tila Taila is the Vata oil and not the Pitta one.",sweet; bitter; astringent,guru; snigdha; tikshna,heating,pungent,V-2 P+1 K+1,bhavaprakasha,,,
Dhanyaka (Coriander Seed),coriander_dhania,spice,"Tridoshaghna, and Pitta-shamaka in effect despite ushna virya — the action the texts attribute to Dhanyaka specifically, which is why it is the one warm spice given freely in Pitta conditions.",astringent; bitter; sweet,laghu; snigdha,heating,sweet,V-1 P-1 K-1,bhavaprakasha,,,
Ela (Green Cardamom),cardamom_elaichi,spice,Shita virya despite katu rasa — the classical exception that makes Ela the aromatic given in Pitta conditions where Maricha and Twak are barred.,pungent; sweet,laghu; ruksha,cooling,sweet,V-1 P-1 K-1,bhavaprakasha,,,
Jiraka (Cumin),cumin_jeera,spice,"Vata-anulomana. Katu rasa raises Vata by rule; Jiraka relieves it, by kindling Agni and clearing the Anaha through which Vata accumulates. Classically vata-kapha hara.",pungent,laghu; ruksha,heating,pungent,V-1 P+1 K-2,bhavaprakasha,,,
Maricha (Black Pepper),black_pepper,spice,"Vata-kapha hara at culinary dose, where the deepana action dominates the Vata-raising tendency of katu rasa. In quantity the rasa wins — which is why Maricha is classically a pinch and not a spoon.",pungent,laghu; tikshna; ruksha,heating,pungent,V-1 P+2 K-2,bhavaprakasha,,,
Methika (Fenugreek Seed),fenugreek_seeds_methi,spice,Vata-kapha hara — the snigdha guna offsets the ruksha tendency its tikta-katu rasa would otherwise carry into Vata.,bitter; pungent,laghu; snigdha,heating,pungent,V-1 P+1 K-2,bhavaprakasha,,,
Shunthi (Dry Ginger),ginger_dry_saunth,spice,"Madhura vipaka despite katu rasa — the classical exception for Shunthi, and the reason dry ginger nourishes where fresh Ardraka only stimulates. The same action makes it vata-hara where katu rasa alone would raise Vata.",pungent,laghu; snigdha,heating,sweet,V-2 P+1 K-2,bhavaprakasha,,,
Yavani (Ajwain),ajwain,spice,Vata-anulomana and shula-prashamana — the classical carminative. It clears the Anaha through which its own katu-tikta rasa would aggravate Vata.,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-2 P+1 K-2,bhavaprakasha,,,
Cashew Cream,cashew_cream,vegan_protein,"Pitta-vardhaka despite madhura rasa — Kaju is ushna virya, the one sweet nut the texts warn against in Pitta, and blending it into a cream concentrates rather than tempers that.",sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,modern_extrapolated,,,
Flax Milk,flax_milk,vegan_protein,"Atasi is ushna virya and katu vipaka against a madhura-kashaya rasa, and Pitta-vardhaka with it — the classical caution on flax, which is why it is a Vata-Kapha seed and not a cooling one. Cited for the seed; carried to the milk by extrapolation.",sweet; astringent,guru; snigdha; picchila,heating,pungent,V-1 P+1 K+0,modern_extrapolated,,,
Alabu (Bottle Gourd),bottle_gourd,vegetable,"Laghu and Mutrala where a madhura, snigdha dravya would be neither — which is why Alabu is the gourd given in fever, in convalescence and to a weak Agni.",sweet,laghu; snigdha; drava,cooling,sweet,V+0 P-2 K-1,bhavaprakasha,,,
Aluka (Potato),potato,vegetable,"Vata-vardhaka despite madhura rasa and against shita virya, which would raise Vata anyway — Aluka is Vatala in the texts, the standard caution on the tuber, and the reason it is cooked with ajwain.",sweet,guru; ruksha,cooling,sweet,V+2 P-1 K+1,bhavaprakasha,,,
Ardraka (Fresh Ginger),ginger,vegetable,Ardraka is guru and snigdha with katu vipaka where dried Shunthi is laghu with madhura vipaka. Fresh and dry are two dravyas and the texts prescribe them differently — this row and `ginger_dry_saunth` are that distinction.,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+1 K-2,bhavaprakasha,,,
Eranda-karkati (Raw Papaya),raw_papaya,vegetable,"Bhedana and a uterine stimulant — unripe papaya carries the action far more strongly than the ripe fruit, which is the whole basis of the pregnancy bar.",astringent; bitter,laghu; tikshna; ruksha,heating,pungent,V+1 P+1 K-2,bhavaprakasha,,,
Garjara (Carrot),carrot,vegetable,"Deepana and Grahi — Garjara is warming and binding, which is why it is a winter root and not the cooling one its madhura rasa suggests.",sweet; bitter,laghu; ruksha,heating,pungent,V-1 P+1 K-1,bhavaprakasha,,,
Kanda (Yam),yam,vegetable,"Arshoghna — Surana is the classical haemorrhoid remedy, the action it is named for and one no part of its rasa predicts.",sweet; astringent,guru; ruksha,heating,sweet,V-1 P+1 K-1,bhavaprakasha,,,
Karavellaka (Bitter Gourd),bitter_gourd_karela,vegetable,"The Prameha vegetable — Karavellaka's sugar-reducing action is the one the texts single it out for, and it is ushna against a tikta rasa that would cool.",bitter,laghu; ruksha,heating,pungent,V+1 P-1 K-2,bhavaprakasha,,,
Kushmanda (Pumpkin),pumpkin,vegetable,"Medhya and Hridya — Kushmanda is the Rasayana gourd, given in mental and cardiac depletion, which is not an action any of its qualities predict.",sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+1,bhavaprakasha,,,
Lasuna (Garlic),garlic,vegetable,Rasayana for Vata and the classical Amavata medicine — Lasuna carries five of the six rasas and is prescribed where its katu rasa alone would bar it.,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+2 K-2,bhavaprakasha,,,
Methika Patra (Fenugreek Leaves),methi_fenugreek_leaves,vegetable,"Deepana and Vata-hara despite a tikta-kashaya rasa that raises Vata by rule — the leaf is warming where the rasa is not, which is why Methi greens are a winter Shaka.",bitter; astringent,laghu; ruksha,heating,pungent,V-1 P+1 K-2,bhavaprakasha,,,
Shigru (Drumstick / Moringa),drumstick_moringa,vegetable,"Shothahara and Krimighna — Shigru is the anti-inflammatory Shaka, given in Amavata and in Shotha where a katu-tikta vegetable would otherwise be avoided for Vata.",pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,bhavaprakasha,,,
