id,name,category,equipment,level,movement_pattern,movement_class,muscle_group,is_impact,contraindications,why,basis,what_a_rule_would_have_said,role,skill_floor,pregnancy_safe,dosha_vata,dosha_pitta,dosha_kapha,already_reviewed,safety_ok__Y_N,pregnancy_ok__Y_N,corrections
hanging_leg_raise,Hanging Leg Raise,strength,bodyweight,intermediate,anti_extension,core,core,,"lower_back_pain, rotator_cuff, shoulder_injury",Hanging loads the shoulder throughout; the pelvis must tilt before the legs move.,authored,"herniated_disc, lower_back_pain",accessory,advanced,False,good,good,moderate,,,,
hollow_body_hold,Hollow Body Hold,strength,bodyweight,intermediate,anti_extension,core,core,,"herniated_disc, lower_back_pain",Supine with a long lever; the low back lifts the moment the trunk gives.,authored,"herniated_disc, lower_back_pain",accessory,intermediate,False,good,good,moderate,,,,
leg_raise_on_parallel_bars,Leg Raise on Parallel Bars,strength,bodyweight,intermediate,anti_extension,core,core,,"lower_back_pain, shoulder_injury","Supported on the forearms, so less shoulder load than hanging.",authored,"herniated_disc, lower_back_pain",accessory,intermediate,False,good,good,moderate,,,,
lying_leg_raise,Lying Leg Raise,strength,bodyweight,beginner,anti_extension,core,core,,"herniated_disc, lower_back_pain",Supine with a long lever; the low back arches as soon as the abdominals are outmatched.,authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
plank,Plank,strength,bodyweight,beginner,anti_extension,core,core,,lower_back_pain,The trunk resists extension against gravity — a demand that rises sharply as the abdomen loads.,authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
russian_twist,Russian Twist,strength,bodyweight,beginner,rotation,core,core,,"herniated_disc, lower_back_pain",Loaded rotation of a flexed spine — the position discs tolerate least.,authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
side_plank,Side Plank,strength,bodyweight,beginner,anti_rotation,core,core,,shoulder_injury,The supporting shoulder carries the bodyweight.,authored,,accessory,beginner,False,good,good,moderate,,,,
band_biceps_curl,Band Biceps Curl,strength,bands,beginner,isolation,curl,biceps,,,"Tension is lowest at full extension, where the elbow is most exposed.",authored,,accessory,beginner,True,good,good,moderate,,,,
barbell_curl,Barbell Curl,strength,barbell,beginner,isolation,curl,biceps,,elbow_injury,Fixed supinated grip gives the elbow and wrist no room to adjust.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
cable_curl,Cable Curl,strength,cable,beginner,isolation,curl,biceps,,elbow_injury,Constant tension holds the elbow under load through the whole range.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
concentration_curls,Concentration Curls,strength,dumbbell,beginner,isolation,curl,biceps,,elbow_injury,Braced arm removes the escape route the standing versions allow.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
dumbbell_bicep_curl,Dumbbell Bicep Curl,strength,dumbbell,beginner,isolation,curl,biceps,,,Free rotation lets the wrist and elbow find a comfortable path.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
ez_bar_curl,EZ-Bar Curl,strength,barbell,beginner,isolation,curl,biceps,,elbow_injury,The angled bar eases the wrist; the elbow load is unchanged.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
self_resisted_biceps_curl,Self-Resisted Biceps Curl,strength,bodyweight,beginner,isolation,curl,biceps,,,"The practitioner sets the resistance, so it cannot exceed what they tolerate.",authored,,accessory,beginner,True,good,good,moderate,,,,
towel_biceps_curl,Towel Biceps Curl,strength,bodyweight,beginner,isolation,curl,biceps,,,As above — self-limiting by construction.,authored,,accessory,beginner,True,good,good,moderate,,,,
barbell_deadlift,Barbell Deadlift,strength,barbell,intermediate,hinge,deadlift,legs,,"herniated_disc, hypertension, lower_back_pain, osteoporosis","The heaviest axial pull available, with a brace held against a maximal effort.",authored,"herniated_disc, hypertension, lower_back_pain, osteoporosis",main,beginner,False,good,moderate,good,,,,
rack_pull,Rack Pull,strength,barbell,advanced,hinge,deadlift,back,,"herniated_disc, hypertension, lower_back_pain, osteoporosis",Heaviest axial load in the library. Breath-holding against a maximal pull is the mechanism.,authored,"herniated_disc, hypertension, lower_back_pain, osteoporosis",accessory,advanced,False,good,good,good,,,,
sumo_deadlift,Sumo Deadlift,strength,barbell,advanced,hinge,deadlift,legs,,"herniated_disc, hip_injury, hypertension, lower_back_pain, osteoporosis","As the conventional pull, with the wide stance loading the hip in abduction.",authored,"herniated_disc, hypertension, lower_back_pain, osteoporosis",main,advanced,False,good,moderate,good,,,,
dip_machine,Dip Machine,strength,machine,beginner,push_v,dip,chest,,"rotator_cuff, shoulder_injury","Same shoulder position as a dip, with the load chosen rather than fixed.",authored,"rotator_cuff, shoulder_injury",accessory,beginner,False,good,good,good,,,,
external_rotation,External Rotation,strength,dumbbell,beginner,rotation,external_rotation,shoulders,,,Rotator-cuff rehab loading. Deliberately untagged: withholding it from a shoulder problem removes the treatment.,authored,,warmup,beginner,True,good,good,moderate,,,,
face_pull,Face Pull,strength,cable,beginner,pull_h,face_pull,shoulders,,,"External rotation with abduction — the movement most often prescribed FOR a shoulder, not against it.",authored,,accessory,beginner,True,good,good,moderate,,,,
farmer_s_walk,Farmer's Walk,strength,dumbbell,beginner,carry,farmers_carry,core,,"cervical_spondylosis, neck_injury",Load hangs from the shoulder girdle through the neck; the spine itself stays neutral and braced.,authored,,accessory,beginner,True,good,good,moderate,,,,
barbell_floor_press,Barbell Floor Press,strength,barbell,intermediate,push_h,floor_press,chest,,,"Supine, so not prenatal — but the floor caps the range, which is why it carries no shoulder restriction: it is the press a restricted shoulder keeps.",authored,,accessory,intermediate,False,good,good,good,,,,
dumbbell_floor_press,Dumbbell Floor Press,strength,dumbbell,beginner,push_h,floor_press,chest,,,As above. Deliberately untagged for the shoulder so that someone with a shoulder problem is left with a pressing option.,authored,,accessory,beginner,False,good,good,good,,,,
cable_crossover,Cable Crossover,strength,cable,intermediate,isolation,fly,chest,,"rotator_cuff, shoulder_injury","Standing, so no supine restriction, but the same end-range shoulder position as a fly.",authored,"rotator_cuff, shoulder_injury",accessory,intermediate,True,good,good,moderate,,,,
dumbbell_flyes,Dumbbell Flyes,strength,dumbbell,intermediate,isolation,fly,chest,,"rotator_cuff, shoulder_injury","Supine, and takes the shoulder to end-range horizontal abduction under load.",authored,"rotator_cuff, shoulder_injury",accessory,intermediate,False,good,good,moderate,,,,
pec_deck,Pec Deck,strength,machine,beginner,isolation,fly,chest,,"rotator_cuff, shoulder_injury",Seated and fixed-path at end-range shoulder abduction.,authored,"rotator_cuff, shoulder_injury",accessory,beginner,True,good,good,moderate,,,,
front_dumbbell_raise,Front Dumbbell Raise,strength,dumbbell,beginner,isolation,front_raise,shoulders,,shoulder_injury,Flexion to shoulder height with a long lever.,authored,"rotator_cuff, shoulder_injury",accessory,beginner,True,good,good,moderate,,,,
front_barbell_squat,Front Barbell Squat,strength,barbell,advanced,squat,front_squat,legs,,"bad_knee, herniated_disc, knee_replacement, osteoporosis, shoulder_injury","As the back squat, plus a rack position the shoulder and wrist must hold.",authored,"bad_knee, herniated_disc, hypertension, osteoporosis",accessory,advanced,False,good,moderate,good,,,,
goblet_squat,Goblet Squat,strength,dumbbell,beginner,squat,front_squat,legs,,bad_knee,The chest-held weight keeps the torso upright and the load light. The squat that survives most restrictions.,authored,bad_knee,main,beginner,True,good,good,good,,,,
back_extension,Back Extension,strength,bodyweight,beginner,hinge,good_morning,back,,herniated_disc,Repeated lumbar extension. Prone position rules it out prenatally.,authored,,accessory,beginner,False,good,good,moderate,,,,
good_morning,Good Morning,strength,barbell,advanced,hinge,good_morning,legs,,"herniated_disc, hypertension, lower_back_pain, osteoporosis",Bar on the back through a hinge — the longest lever against the spine of anything here.,authored,"herniated_disc, hypertension, lower_back_pain, osteoporosis",accessory,advanced,False,good,good,good,,,,
hack_squat,Hack Squat,strength,machine,intermediate,squat,hack_squat,legs,,"bad_knee, knee_replacement",Fixed path holds the knee in one line whether or not that is the practitioner's line.,authored,bad_knee,main,beginner,False,good,good,good,,,,
cable_hammer_curl,Cable Hammer Curl,strength,cable,beginner,isolation,hammer_curl,biceps,,,Neutral grip with constant tension; the kindest loaded curl.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
hammer_curls,Hammer Curls,strength,dumbbell,beginner,isolation,hammer_curl,biceps,,,Neutral grip is the most forgiving curl for the elbow and wrist.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
adductor,Adductor,stretching,bodyweight,beginner,isolation,hip_abduction,legs,,hip_injury,End-range hip abduction; the load is the weight of the legs.,authored,,mobility,beginner,True,good,good,moderate,,,,
barbell_hip_thrust,Barbell Hip Thrust,strength,barbell,intermediate,hinge,hip_thrust,legs,,lower_back_pain,"Spine stays neutral and supported, so the disc restriction is dropped; the low back still resists extension at the top.",authored,"herniated_disc, lower_back_pain",accessory,intermediate,False,good,good,good,,,,
glute_bridge,Glute Bridge,strength,bodyweight,beginner,hinge,hip_thrust,legs,,,"Supine, which rules it out after the first trimester. Otherwise among the gentlest hip movements.",authored,,accessory,beginner,False,good,good,good,,,,
glute_bridge_march,Glute Bridge March,strength,bodyweight,beginner,anti_extension,hip_thrust,core,,lower_back_pain,Supine bridge held while the trunk resists tilt.,authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
single_leg_glute_bridge,Single Leg Glute Bridge,strength,bodyweight,beginner,hinge,hip_thrust,legs,,lower_back_pain,"Supine, and the single-leg version asks the low back to resist rotation.",authored,,accessory,beginner,False,good,good,good,,,,
incline_barbell_bench_press,Incline Barbell Bench Press,strength,barbell,intermediate,push_h,incline_press,chest,,"rotator_cuff, shoulder_injury","Inclined rather than flat, but still a reclined position under a loaded bar.",authored,"rotator_cuff, shoulder_injury",accessory,intermediate,False,good,moderate,good,,,,
incline_dumbbell_press,Incline Dumbbell Press,strength,dumbbell,beginner,push_h,incline_press,chest,,"rotator_cuff, shoulder_injury","Reclined, and the incline shifts load onto the front of the shoulder.",authored,"rotator_cuff, shoulder_injury",accessory,beginner,False,good,good,good,,,,
band_lateral_raise,Band Lateral Raise,strength,bands,beginner,isolation,lateral_raise,shoulders,,,Lightest abduction available; band tension is least where the arc is most sensitive.,authored,,accessory,beginner,True,good,good,moderate,,,,
cable_lateral_raise,Cable Lateral Raise,strength,cable,beginner,isolation,lateral_raise,shoulders,,shoulder_injury,"As the dumbbell version, with tension held at the bottom.",authored,"rotator_cuff, shoulder_injury",accessory,beginner,True,good,good,moderate,,,,
side_lateral_raise,Side Lateral Raise,strength,dumbbell,beginner,isolation,lateral_raise,shoulders,,shoulder_injury,"Abduction to shoulder height. Light, but directly through the painful arc.",authored,"rotator_cuff, shoulder_injury",accessory,beginner,True,good,good,moderate,,,,
lying_leg_curls,Lying Leg Curls,strength,machine,beginner,isolation,leg_curl,legs,,bad_knee,Prone position rules it out prenatally; hamstring loading at the knee otherwise.,authored,,accessory,beginner,False,good,good,moderate,,,,
seated_leg_curl,Seated Leg Curl,strength,machine,beginner,isolation,leg_curl,legs,,bad_knee,"Seated and supported, so it keeps the hamstring work without the prone position.",authored,,accessory,beginner,True,good,good,moderate,,,,
90_90_hamstring,90/90 Hamstring,stretching,bodyweight,beginner,isolation,leg_extension,legs,,,"Passive stretch against a wall, range self-selected.",authored,,mobility,beginner,True,good,good,moderate,,,,
band_pull_through,Band Pull-Through,strength,bands,beginner,hinge,leg_extension,legs,,lower_back_pain,Hinge pattern with the load pulling backwards rather than down — the least spinal compression of any hinge.,authored,,accessory,beginner,True,good,good,good,,,,
leg_extensions,Leg Extensions,strength,machine,beginner,isolation,leg_extension,legs,,"bad_knee, knee_replacement",Open-chain knee extension puts shear through the joint that closed-chain work does not.,authored,,accessory,beginner,True,good,good,moderate,,,,
lying_prone_quadriceps,Lying Prone Quadriceps,stretching,bodyweight,beginner,isolation,leg_extension,legs,,bad_knee,"End-range knee flexion, performed lying face down.",authored,,mobility,beginner,False,good,good,moderate,,,,
seated_glute,Seated Glute,stretching,bodyweight,beginner,isolation,leg_extension,legs,,hip_injury,Passive hip external rotation with a forward hinge.,authored,,mobility,beginner,True,good,good,moderate,,,,
standing_hip_circles,Standing Hip Circles,stretching,bodyweight,beginner,rotation,leg_extension,legs,,,Unloaded joint preparation through the hip's own range.,authored,,warmup,beginner,True,good,good,moderate,,,,
leg_press,Leg Press,strength,machine,beginner,squat,leg_press,legs,,"bad_knee, herniated_disc",Deep knee flexion under heavy load; the low back rounds off the pad at depth.,authored,bad_knee,main,beginner,False,good,good,good,,,,
barbell_lunge,Barbell Lunge,strength,barbell,advanced,lunge,lunge,legs,,"bad_knee, knee_replacement, osteoporosis",Loaded single-leg work with a bar on the back — balance fails before the muscles do.,authored,"bad_knee, knee_replacement",accessory,advanced,False,good,good,good,,,,
bulgarian_split_squat,Bulgarian Split Squat,strength,bodyweight,intermediate,lunge,lunge,legs,,"bad_knee, knee_replacement",Deep single-leg flexion with the rear foot elevated; a demanding position for the front knee.,authored,"bad_knee, knee_replacement",main,intermediate,False,good,good,good,,,,
dumbbell_lunges,Dumbbell Lunges,strength,dumbbell,beginner,lunge,lunge,legs,,"bad_knee, knee_replacement","Single-leg knee flexion under load; the dumbbells can be dropped, which the bar cannot.",authored,"bad_knee, knee_replacement",main,beginner,False,good,good,good,,,,
reverse_lunge,Reverse Lunge,strength,bodyweight,beginner,lunge,lunge,legs,,bad_knee,Stepping back rather than forward keeps the front shin vertical and is markedly kinder to the knee.,authored,"bad_knee, knee_replacement",main,beginner,True,good,good,good,,,,
split_squat,Split Squat,strength,dumbbell,beginner,lunge,lunge,legs,,bad_knee,"Both feet planted, so the balance demand is low and the knee path is stable.",authored,"bad_knee, knee_replacement",accessory,beginner,True,good,good,good,,,,
arm_circles,Arm Circles,stretching,bodyweight,beginner,rotation,overhead_press,shoulders,,,Unloaded joint preparation.,authored,,warmup,beginner,True,good,good,moderate,,,,
arnold_dumbbell_press,Arnold Dumbbell Press,strength,dumbbell,intermediate,push_v,overhead_press,shoulders,,"rotator_cuff, shoulder_injury","Adds internal-to-external rotation under load, through the arc the cuff is most exposed in.",authored,"rotator_cuff, shoulder_injury",accessory,intermediate,True,good,good,good,,,,
band_overhead_press,Band Overhead Press,strength,bands,beginner,push_v,overhead_press,shoulders,,shoulder_injury,"Overhead, but band tension is lowest at the bottom and the load is small.",authored,"rotator_cuff, shoulder_injury",main,beginner,True,good,good,good,,,,
band_pull_apart,Band Pull Apart,strength,bands,beginner,pull_h,overhead_press,shoulders,,,Scapular retraction against light resistance. Safe for essentially everyone.,authored,,warmup,beginner,True,good,good,moderate,,,,
barbell_shoulder_press,Barbell Shoulder Press,strength,barbell,intermediate,push_v,overhead_press,shoulders,,"hypertension, rotator_cuff, shoulder_injury",Overhead pressing with a bar; the bracing required raises intrathoracic pressure.,authored,"rotator_cuff, shoulder_injury",main,beginner,False,good,moderate,good,,,,
dumbbell_shoulder_press,Dumbbell Shoulder Press,strength,dumbbell,beginner,push_v,overhead_press,shoulders,,"rotator_cuff, shoulder_injury","Overhead, but seated and independently loaded so the arms find their own path.",authored,"rotator_cuff, shoulder_injury",main,beginner,True,good,good,good,,,,
hands_elevated_pike_push_up,Hands-Elevated Pike Push-Up,strength,bodyweight,beginner,push_v,overhead_press,shoulders,,"shoulder_injury, wrist_injury",Less overhead load and less inversion than the floor version.,authored,"rotator_cuff, shoulder_injury, wrist_injury",main,beginner,True,good,good,good,,,,
machine_shoulder_press,Machine Shoulder Press,strength,machine,beginner,push_v,overhead_press,shoulders,,shoulder_injury,Supported and fixed-path; suitable when balance rather than the shoulder is the limit.,authored,"rotator_cuff, shoulder_injury",main,beginner,True,good,good,good,,,,
pike_push_up,Pike Push-Up,strength,bodyweight,intermediate,push_v,overhead_press,shoulders,,"rotator_cuff, shoulder_injury, wrist_injury",Bodyweight overhead press with the head below the heart.,authored,"rotator_cuff, shoulder_injury, wrist_injury",main,intermediate,False,good,good,good,,,,
pike_push_up_feet_elevated,Pike Push-Up - Feet Elevated,strength,bodyweight,advanced,push_v,overhead_press,shoulders,,"hypertension, rotator_cuff, shoulder_injury, wrist_injury",Near-vertical loading with the head well below the heart.,authored,"rotator_cuff, shoulder_injury, wrist_injury",accessory,advanced,False,good,good,good,,,,
plank_shoulder_tap,Plank Shoulder Tap,strength,bodyweight,beginner,anti_rotation,overhead_press,shoulders,,wrist_injury,Loaded wrist extension in a plank; the plank position is unavailable as the abdomen loads.,authored,,accessory,beginner,False,good,good,moderate,,,,
prone_t_raise,Prone T-Raise,strength,bodyweight,beginner,isolation,overhead_press,shoulders,,,"Light posterior shoulder work, performed face down.",authored,,accessory,beginner,False,good,good,moderate,,,,
prone_y_raise,Prone Y-Raise,strength,bodyweight,beginner,isolation,overhead_press,shoulders,,,"As the T-raise, with more shoulder flexion.",authored,,accessory,beginner,False,good,good,moderate,,,,
wall_handstand_hold,Wall Handstand Hold,strength,bodyweight,advanced,push_v,overhead_press,shoulders,,"hypertension, rotator_cuff, shoulder_injury, wrist_injury",Full inversion under bodyweight; blood pressure and wrist load are both at their limit.,authored,"rotator_cuff, shoulder_injury, wrist_injury",accessory,advanced,False,moderate,good,moderate,,,,
wall_slide,Wall Slide,strength,bodyweight,beginner,push_v,overhead_press,shoulders,,,"Scapular rehab drill against a wall. The derived rule withheld it from shoulder problems, which is backwards.",authored,"rotator_cuff, shoulder_injury, wrist_injury",warmup,beginner,True,good,good,moderate,,,,
pallof_press,Pallof Press,strength,cable,beginner,anti_rotation,pallof,core,,,Anti-rotation: the trunk resists movement rather than producing it. Safe prenatally and with most back restrictions.,authored,,accessory,beginner,True,good,good,moderate,,,,
preacher_curl,Preacher Curl,strength,barbell,intermediate,isolation,preacher_curl,biceps,,elbow_injury,"Loads the elbow at full extension, where the joint is least protected.",authored,elbow_injury,accessory,intermediate,True,good,good,moderate,,,,
standing_dumbbell_reverse_curl,Standing Dumbbell Reverse Curl,strength,dumbbell,intermediate,isolation,preacher_curl,biceps,,elbow_injury,Pronated grip loads the lateral elbow — the tennis-elbow mechanism.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
band_lat_pulldown,Band Lat Pulldown,strength,bands,beginner,pull_v,pulldown,back,,shoulder_injury,"Overhead, but band tension is lowest at the top where the shoulder is most vulnerable.",authored,"rotator_cuff, shoulder_injury",accessory,beginner,True,good,good,good,,,,
v_bar_pulldown,V-Bar Pulldown,strength,machine,beginner,pull_v,pulldown,back,,shoulder_injury,Neutral close grip is the kindest overhead pull; keeps `shoulder_injury` but not the cuff tag.,authored,"rotator_cuff, shoulder_injury",accessory,beginner,True,good,good,good,,,,
wide_grip_lat_pulldown,Wide-Grip Lat Pulldown,strength,machine,beginner,pull_v,pulldown,back,,"rotator_cuff, shoulder_injury","Overhead start position. Seated and supported, so no prenatal restriction.",authored,"rotator_cuff, shoulder_injury",main,beginner,True,good,good,good,,,,
push_press,Push Press,strength,barbell,advanced,push_v,push_press,shoulders,,"herniated_disc, hypertension, osteoporosis, rotator_cuff, shoulder_injury",Explosive overhead drive with an axial load and a hard brace.,authored,"hypertension, osteoporosis, rotator_cuff, shoulder_injury",main,advanced,False,moderate,moderate,good,,,,
band_triceps_pushdown,Band Triceps Pushdown,strength,bands,beginner,isolation,pushdown,triceps,,,Lightest elbow extension available.,authored,,accessory,beginner,True,good,good,moderate,,,,
one_arm_cable_pushdown,One-Arm Cable Pushdown,strength,cable,beginner,isolation,pushdown,triceps,,elbow_injury,"As the pushdown, one side at a time.",authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
triceps_pushdown,Triceps Pushdown,strength,cable,beginner,isolation,pushdown,triceps,,elbow_injury,"Standing and self-limiting, but the elbow is the working joint.",authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
bent_over_rear_delt_raise,Bent Over Rear Delt Raise,strength,dumbbell,beginner,isolation,rear_delt,shoulders,,,"Posterior shoulder work, which is generally protective. Hinged position rules it out prenatally.",authored,,accessory,beginner,False,good,good,moderate,,,,
cable_rear_delt_fly,Cable Rear Delt Fly,strength,cable,beginner,pull_h,rear_delt,shoulders,,,"Standing and upright, so it keeps the posterior work without the hinge.",authored,,accessory,beginner,True,good,good,moderate,,,,
reverse_flyes,Reverse Flyes,strength,dumbbell,beginner,pull_h,rear_delt,shoulders,,,As the rear delt raise.,authored,,accessory,beginner,False,good,good,moderate,,,,
banded_romanian_deadlift,Banded Romanian Deadlift,strength,bands,beginner,hinge,romanian,legs,,lower_back_pain,Lightest hinge in the library; tension is lowest at the bottom where the spine is most flexed.,authored,,main,beginner,True,good,good,good,,,,
barbell_romanian_deadlift,Barbell Romanian Deadlift,strength,barbell,intermediate,hinge,romanian,legs,,"herniated_disc, hypertension, lower_back_pain","Sustained loaded hinge; the hamstrings run out before the spine does, which is where it goes wrong.",authored,"herniated_disc, hypertension, lower_back_pain, osteoporosis",main,beginner,False,good,moderate,good,,,,
dumbbell_romanian_deadlift,Dumbbell Romanian Deadlift,strength,dumbbell,beginner,hinge,romanian,legs,,"herniated_disc, lower_back_pain","Same hinge, lighter load, dumbbells tracking closer to the body.",authored,"herniated_disc, lower_back_pain",main,beginner,False,good,good,good,,,,
band_row,Band Row,strength,bands,beginner,pull_h,row,back,,,"Upright, light, and fully self-limiting.",authored,,main,beginner,True,good,good,good,,,,
bent_over_barbell_row,Bent Over Barbell Row,strength,barbell,intermediate,pull_h,row,back,,"herniated_disc, hypertension, lower_back_pain",Sustained loaded spinal flexion hold; the hinge position is also unavailable as the abdomen grows.,authored,,main,beginner,False,good,moderate,good,,,,
bent_over_two_dumbbell_row,Bent Over Two-Dumbbell Row,strength,dumbbell,intermediate,pull_h,row,back,,"herniated_disc, lower_back_pain",Unsupported hinge under load.,authored,,accessory,intermediate,False,good,good,good,,,,
chest_supported_dumbbell_row,Chest Supported Dumbbell Row,strength,dumbbell,beginner,pull_h,row,back,,,The bench removes the spinal load entirely. This is the row that survives a back restriction.,authored,,main,beginner,True,good,good,good,,,,
chin_up,Chin-Up,strength,bodyweight,intermediate,pull_v,row,back,,"rotator_cuff, shoulder_injury","As the pull-up, with the supinated grip adding elbow load.",authored,"rotator_cuff, shoulder_injury",main,intermediate,False,good,good,good,,,,
