food,food_id,category,prep_state,rasa,guna,virya,vipaka,dosha_effect,prabhava,season_suitable,source,varga_or_reasoning,kcal_per_100g,nutrition_source,rasa_ok,guna_ok,virya_ok,vipaka_ok,dosha_ok,ritu_ok,vaidya_notes
Daliya (Broken Wheat),daliya,grain,cooked,sweet,laghu; snigdha,cooling,sweet,V-1 P-1 K+1,,shishira; hemanta; vasanta,bhavaprakasha,"Dhanya — Godhuma, broken",83.0,usda,,,,,,,
Godhuma (Whole Wheat Roti),roti_whole_wheat,grain,cooked,sweet,guru; snigdha; sthira,cooling,sweet,V-2 P-1 K+2,"Brimhana and Jivana — wheat builds tissue, which is the action that makes it Vata's staple and Kapha's burden at the same time.",shishira; hemanta; vasanta,bhavaprakasha,Dhanya,297.0,usda,,,,,,,
Jowar (Sorghum),millet_jowar,grain,cooked,sweet; astringent,laghu; ruksha,cooling,pungent,V+1 P-1 K-2,,grishma; sharad,bhavaprakasha,Kudhanya,115.0,authored_estimate,,,,,,,
Kuttu (Buckwheat),buckwheat,grain,cooked,sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+1 K-1,Ushna virya and Pitta-vardhaka against a rasa that would pacify Pitta — the reason Kuttu is a Vrata grain for cold months and sits badly in Grishma.,shishira; hemanta,modern_extrapolated,"No nighantu entry; a Vrata food of later usage. Reasoned as a laghu, ruksha, ushna Kudhanya — its Pitta caution is the one folk practice and Unani sources agree on. Extrapolated, not cited.",92.0,usda,,,,,,,
Makka (Sweet Corn),corn,grain,cooked,sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K-1,"Ushna despite madhura rasa, and guru while ruksha — the combination that makes Makka hard on Vata and on a weak Agni both.",varsha; sharad,bhavaprakasha,Kudhanya,96.0,usda,,,,,,,
Oats Porridge,oats,grain,cooked,sweet; astringent,guru; picchila; snigdha,cooling,sweet,V-1 P-1 K+1,,shishira; hemanta,modern_extrapolated,"No classical entry. Reasoned from Yava Varga — but unlike Yava it is picchila and not Medohara, because the sliminess that makes oats cholesterol-lowering is the opposite of Yava's ruksha, sara quality. Extrapolated, not cited.",71.0,usda,,,,,,,
Paratha,paratha,grain,cooked,sweet,guru; snigdha; sthira,heating,sweet,V-2 P+1 K+2,"Pitta-vardhaka against a madhura rasa that pacifies Pitta by rule. The preparation decides: sneha taken to griddle heat turns the virya ushna, which is Vidahi — the same reason fried food is the first Apathya named in Amlapitta.",shishira; hemanta,modern_extrapolated,"A preparation, not a dravya. Reasoned from Godhuma cooked in sneha: the wheat's guru-snigdha guna intensified and the virya turned ushna by the ghee and the griddle. Extrapolated, not cited.",320.0,authored_estimate,,,,,,,
"Prithuka (Poha, Cooked)",poha,grain,cooked,sweet,laghu; picchila,cooling,sweet,V-1 P-1 K+1,,vasanta; grishma; sharad,bhavaprakasha,Dhanya,130.0,authored_estimate,,,,,,,
"Prithuka (Rice Flakes, Dry)",rice_flakes,grain,dry,sweet,guru; picchila,cooling,sweet,V-1 P-1 K+2,"Prithuka is guru and Kapha-vardhaka in Bhavaprakasha despite coming from laghu Shali — the flattening and drying change the dravya, so the dry flake and the cooked dish do not share a guna.",vasanta; grishma,bhavaprakasha,Dhanya,346.0,usda,,,,,,,
Quinoa,quinoa,grain,cooked,sweet; astringent,laghu; ruksha,cooling,sweet,V+0 P-1 K-1,,grishma; sharad; vasanta,modern_extrapolated,"No classical entry. Reasoned from the Kudhanya (minor millet) group as a laghu, ruksha, madhura-kashaya grain — nearest to Shyamaka in guna. Extrapolated, not cited.",120.0,usda,,,,,,,
Ramdana (Amaranth),amaranth,grain,cooked,sweet; astringent,laghu; ruksha,cooling,sweet,V+0 P-1 K-1,,grishma; sharad,bhavaprakasha,Kudhanya,102.0,usda,,,,,,,
Rava (Semolina),semolina_rava,grain,cooked,sweet,guru; picchila,cooling,sweet,V-1 P-1 K+2,,shishira; hemanta,bhavaprakasha,"Dhanya — Godhuma, milled",100.0,authored_estimate,,,,,,,
Sabudana (Tapioca Pearls),sabudana,grain,cooked,sweet,guru; picchila; sthira,cooling,sweet,V-1 P-1 K+2,,grishma; sharad,modern_extrapolated,"No nighantu entry — tapioca is a New World root and reaches India long after the texts. Reasoned as pure madhura starch: guru, picchila, Kapha-vardhaka, and nutritionally near-empty besides carbohydrate. Extrapolated, not cited.",130.0,authored_estimate,,,,,,,
Shali (Basmati Rice),basmati_rice,grain,cooked,sweet,laghu; snigdha; mridu,cooling,sweet,V-1 P-1 K+1,"Purana Shali — aged rice — is laghu where new rice is guru, which is why the texts specify the age.",grishma; sharad; varsha,bhavaprakasha,Dhanya,130.0,usda,,,,,,,
Upma,upma,grain,cooked,sweet,guru; snigdha,heating,sweet,V-1 P+0 K+1,,shishira; hemanta; varsha,modern_extrapolated,"A preparation, not a dravya. Reasoned from Godhuma sooji with a ushna tadka — the semolina's guru guna, warmed and lightened by the spices. Extrapolated, not cited.",145.0,authored_estimate,,,,,,,
White Rice,white_rice,grain,cooked,sweet,laghu; picchila,cooling,sweet,V-1 P-1 K+2,,grishma; sharad,bhavaprakasha,Dhanya,130.0,usda,,,,,,,
Whole Wheat Bread,bread_whole_wheat,grain,fermented,sweet; sour,guru; ruksha; sthira,heating,sour,V+1 P+1 K+2,"Vata-vardhaka against a madhura-amla rasa that pacifies Vata by rule. Yeast fermentation makes the loaf ruksha and khara where the wheat was snigdha, and Vata follows the guna here rather than the rasa — the same reason dry, aerated food is withheld in Vata disorders.",shishira; hemanta,modern_extrapolated,"No classical entry. Reasoned from Godhuma taken through yeast fermentation: amla rasa and amla vipaka arrive with the souring, and with them the Amavata and Kushtha bars that attach to fermented food. Extrapolated, not cited.",247.0,usda,,,,,,,
Yava (Barley),barley,grain,cooked,sweet; astringent,laghu; ruksha; chala,cooling,pungent,V+1 P-1 K-2,"Medohara and Kapha-hara despite madhura rasa — the textbook Prabhava, and the reason Yava is the grain prescribed in Sthaulya and Prameha while Shali is withheld.",vasanta; grishma; sharad,bhavaprakasha,Dhanya,123.0,usda,,,,,,,
Adhaki (Toor Dal),toor_dal,legume,cooked,sweet; astringent,laghu; ruksha,cooling,pungent,V+1 P-1 K-1,,grishma; sharad; hemanta,bhavaprakasha,Shimbi Dhanya,121.0,usda,,,,,,,
Black Beans,black_beans,legume,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+2 P+0 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry — a New World crop. Reasoned from the Shimbi Varga as guru, ruksha and Vata-vardhaka. Extrapolated, not cited.",132.0,usda,,,,,,,
Chanaka (Chana Dal),chana_dal,legume,cooked,sweet; astringent,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira,bhavaprakasha,Shimbi Dhanya,164.0,usda,,,,,,,
Chanaka (Kabuli Chana),chhole,legume,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira,bhavaprakasha,Shimbi Dhanya,164.0,usda,,,,,,,
Chanaka Churna (Besan),chickpea_flour_besan,legume,dry,sweet; astringent,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira; vasanta,bhavaprakasha,Shimbi Dhanya,387.0,usda,,,,,,,
Edamame,edamame,legume,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+1 P-1 K+0,,grishma; sharad,modern_extrapolated,"No nighantu entry — the green soybean. Reasoned from the Shimbi Varga; lighter than the dried bean because it is eaten immature. Extrapolated, not cited.",121.0,usda,,,,,,,
Kalaya (Green Peas),green_peas,legume,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,shishira; hemanta; vasanta,bhavaprakasha,Shimbi Dhanya,84.0,usda,,,,,,,
Kidney Beans,kidney_beans,legume,cooked,sweet; astringent,guru; ruksha; sthira,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira,modern_extrapolated,"No classical entry. Reasoned from the Shimbi Varga as a guru, ruksha, kashaya-madhura legume. Extrapolated, not cited.",127.0,usda,,,,,,,
Mandapi (Peanuts),peanuts,legume,raw,sweet; astringent,guru; snigdha,heating,sweet,V-1 P+2 K+2,"Ushna and Vidahi against a madhura rasa — the peanut heats and burns where its rasa says it should cool, which is the classical caution and the reason it is withheld in Amlapitta and Kushtha.",shishira; hemanta,bhavaprakasha,"Shimbi Dhanya — Mandapi, a later addition to the varga",567.0,usda,,,,,,,
Masha (Urad Dal),urad_dal,legume,cooked,sweet,guru; snigdha; picchila,heating,sweet,V-2 P+2 K+2,"Ushna virya and Pitta-vardhaka against a madhura rasa that pacifies Pitta by rule — Masha is Balya and Vrishya, the strength-building legume, and the pole opposite Mudga in this varga. It is the black gram named first in the Amavata Apathya.",shishira; hemanta,bhavaprakasha,Shimbi Dhanya,118.0,usda,,,,,,,
Masura (Masoor Dal),masoor_dal,legume,cooked,sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+0 K-1,"Grahi — it binds the stool, which is why Masura is given in loose motions and is the legume withheld in constipation.",shishira; hemanta; varsha,bhavaprakasha,Shimbi Dhanya,116.0,usda,,,,,,,
Masura (Whole Brown Lentil),lentils_brown,legume,cooked,sweet; astringent,guru; ruksha,heating,pungent,V+2 P+0 K-1,,shishira; hemanta,bhavaprakasha,Shimbi Dhanya,116.0,usda,,,,,,,
Mudga (Sprouted Moong),sprouted_moong,legume,sprouted,sweet; astringent,laghu; ruksha; chala,cooling,pungent,V+2 P-1 K-1,,vasanta; grishma,bhavaprakasha,Shimbi Dhanya,30.0,usda,,,,,,,
Mudga (Whole Green Gram),moong_dal_green,legume,cooked,sweet; astringent,laghu; ruksha,cooling,pungent,V+1 P-1 K-1,,grishma; sharad,bhavaprakasha,Shimbi Dhanya,105.0,usda,,,,,,,
Mudga (Yellow Moong Dal),moong_dal_yellow,legume,cooked,sweet; astringent,laghu; ruksha,cooling,pungent,V+0 P-1 K-1,"Shreshtha among the Shimbi — the one legume the texts call tridoshaghna and prescribe in fever, in convalescence and to a weak Agni, where every other legume in this varga is withheld.",grishma; sharad; varsha,bhavaprakasha,Shimbi Dhanya,105.0,usda,,,,,,,
Rajamasha (Black-Eyed Peas),black_eyed_peas,legume,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,varsha; sharad,bhavaprakasha,Shimbi Dhanya,116.0,usda,,,,,,,
Rajma (Kidney Beans),rajma,legume,cooked,sweet; astringent,guru; ruksha; sthira,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry — the kidney bean is a New World crop. Reasoned from the Shimbi Varga at its guru, ruksha, Vata-vardhaka end, which is where its reputation for flatulence puts it. Extrapolated, not cited.",127.0,usda,,,,,,,
Soya Chunks,soya_chunks,legume,cooked,sweet; astringent,guru; ruksha,cooling,pungent,V+2 P+0 K+0,,hemanta; shishira,modern_extrapolated,"No nighantu entry, and the defatted extrusion has no dravya analogue at all. Reasoned from the Shimbi Varga as guru and ruksha; the thyroid caution is modern and does not come from the texts. Extrapolated, not cited.",105.0,authored_estimate,,,,,,,
Tempeh,tempeh,legume,fermented,sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K+0,,hemanta; shishira,modern_extrapolated,"No nighantu entry. Reasoned as a Shimbi taken through mould fermentation: ushna virya and katu vipaka arrive with it, and with them the Amavata and Kushtha bars that attach to fermented food. Extrapolated, not cited.",192.0,usda,,,,,,,
Tofu (Firm),tofu_firm,legume,prepared,sweet; astringent,guru; picchila,cooling,sweet,V+1 P-1 K+1,,grishma; sharad,modern_extrapolated,"No classical entry. Reasoned from the Shimbi Varga curdled as Kilata is. Extrapolated, not cited.",76.0,usda,,,,,,,
Akshota (Walnuts),walnuts,nut_seed,raw,sweet; astringent,guru; snigdha,heating,sweet,V-2 P+1 K+1,,shishira; hemanta,bhavaprakasha,Vatadi,654.0,usda,,,,,,,
Atasi (Flax Seeds),flax_seeds,nut_seed,raw,sweet; astringent,guru; snigdha; picchila,heating,pungent,V-2 P+1 K+0,"Ushna virya and katu vipaka against a madhura-kashaya rasa — the classical caution on Atasi, and why it is a Vata-Kapha seed rather than a cooling one.",shishira; hemanta,bhavaprakasha,Uma — Atasi,534.0,usda,,,,,,,
Badama (Almonds),almonds,nut_seed,raw,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,"Medhya, Balya and Vrishya — the actions that make Badama a Rasayana rather than a fat, and the reason it is soaked and peeled before use.",shishira; hemanta; vasanta,bhavaprakasha,Vatadi,579.0,usda,,,,,,,
Chia Seeds,chia_seeds,nut_seed,raw,sweet; astringent,guru; picchila; snigdha,cooling,sweet,V-1 P-1 K+0,,grishma; sharad,modern_extrapolated,"No nighantu entry — a New World seed. Reasoned from Atasi for its picchila swelling in water, but shita rather than ushna: it lacks the heat Atasi is cautioned for. Extrapolated, not cited.",486.0,usda,,,,,,,
Chilgoza (Pine Nuts),pine_nuts,nut_seed,raw,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+1,,shishira; hemanta,bhavaprakasha,Vatadi,673.0,usda,,,,,,,
Hemp Seeds,hemp_seeds,nut_seed,raw,sweet; astringent,guru; snigdha,heating,sweet,V-1 P+1 K+1,,shishira; hemanta,modern_extrapolated,"The plant is Vijaya in the nighantus but the hulled seed is a modern food and carries none of Vijaya's action. Reasoned from the Vatadi Varga as a guru, snigdha, ushna oilseed. Extrapolated, not cited.",553.0,usda,,,,,,,
Kaju (Cashews),cashews,nut_seed,raw,sweet,guru; snigdha,heating,sweet,V-2 P+2 K+2,The one sweet nut the texts warn against in Pitta — Kaju is ushna and Vidahi where its madhura rasa says it should cool.,shishira; hemanta,bhavaprakasha,Vatadi,553.0,usda,,,,,,,
Kalinga Bija (Watermelon Seeds),watermelon_seeds,nut_seed,raw,sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+1,,grishma; sharad,bhavaprakasha,Chatur Bija,557.0,usda,,,,,,,
Kharbuja Bija (Melon Seeds / Magaz),melon_seeds_magaz,nut_seed,raw,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+1,"Mutrala and Pittahara — one of the Chatur Bija, given for urinary heat where its guru-snigdha guna alone would suggest otherwise.",grishma; sharad,bhavaprakasha,Chatur Bija,557.0,authored_estimate,,,,,,,
Kushmanda Bija (Pumpkin Seeds),pumpkin_seeds,nut_seed,raw,sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+1,"Krimighna and Mutrala — the anthelmintic and diuretic actions the texts give Kushmanda seed, neither of which follows from its rasa.",grishma; sharad,bhavaprakasha,"Shaka — Kushmanda, seed",559.0,usda,,,,,,,
Mandapi (Roasted Peanuts),peanuts_roasted,nut_seed,roasted,sweet; astringent,guru; ruksha; tikshna,heating,sweet,V-1 P+2 K+1,"Roasting turns Mandapi ruksha and more Vidahi than the raw seed — the same dravya, a sharper one, and the reason roasted peanuts sit worse in Amlapitta than boiled ones.",shishira; hemanta,bhavaprakasha,"Shimbi Dhanya — Mandapi, roasted",587.0,usda,,,,,,,
Padmabija (Makhana / Fox Nuts),fox_nuts_makhana,nut_seed,roasted,sweet; astringent,guru; snigdha; sthira,cooling,sweet,V-1 P-1 K+1,"Garbhasthapana and Vrishya — Makhana is the one nut given freely in pregnancy, which is why it is here and Kaju is not.",grishma; sharad; varsha,bhavaprakasha,Padma — bija,347.0,ifct2017,,,,,,,
Pistachios,pistachios,nut_seed,raw,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,,shishira; hemanta,bhavaprakasha,Vatadi,560.0,usda,,,,,,,
Sunflower Seeds,sunflower_seeds,nut_seed,raw,sweet,guru; snigdha,heating,sweet,V-1 P+1 K+1,,shishira; hemanta,modern_extrapolated,"No nighantu entry — a New World seed. Reasoned from the Vatadi Varga as a guru, snigdha, ushna oilseed, nearest to Tila in guna but without its tikta rasa. Extrapolated, not cited.",584.0,usda,,,,,,,
Tila (Sesame Seeds),sesame_seeds_til,nut_seed,raw,sweet; bitter; astringent,guru; snigdha,heating,pungent,V-2 P+1 K+1,"Balya and Vata-hara, and the Kushtha caution that comes with it — Tila with milk is named Viruddha in the Kushtha Nidana (Charaka Chikitsa 7).",shishira; hemanta,bhavaprakasha,Uma — Tila,573.0,usda,,,,,,,
Goghrita (Cow's Ghee),ghee_oil,oil,prepared,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,"Agni-deepana while being snigdha and guru — the classical exception that makes Ghrita the one fat given to a weak Agni rather than withheld from it (Charaka Sutrasthana 13). Vata-Pitta hara, Ojas-vardhaka.",shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Taila,900.0,usda,,,,,,,
Narikela Taila (Coconut Oil),coconut_oil,oil,prepared,sweet,guru; snigdha; manda,cooling,sweet,V-1 P-2 K+1,,grishma; sharad,bhavaprakasha,Taila,862.0,usda,,,,,,,
