token,kind,interpreted_as,entries_affected,example_entries,interpretation_ok,should_be,vaidya_notes
dehydration,red_flag,shown to the user: Do not use if you are dehydrated — replace fluids first.,3,Guggulutiktakam Kashayam; Musta Churna; Varunaadi Kashayam,,,
dehydration_severe,red_flag,"shown to the user: Severe dehydration (dizziness, no urine, dry mouth) needs oral rehydration salts or medical care, not herbs.",2,Bhumyamalaki Churna; Diarrhea (Atisara),,,
depression,vocabulary,matched directly — the app records this condition under this name,1,Sarpagandha Vati,,,
deviated_nasal_septum_severe,red_flag,"shown to the user: A significantly deviated septum needs an ENT opinion, not steam and drops.",1,Sinus Congestion / Pratishyaya,,,
diabetes,vocabulary,matched directly — the app records this condition under this name,4,Arvindasava; Saraswatarishta; Sitopaladi Churna; Talisapathradi Churna,,,
diabetes_high_sugar,condition,"bars: diabetes_type1, diabetes_type2",4,Chandanasava; Drakshadi Kashayam; Mridvikasava; Ushirasava,,,
diabetes_poorly_controlled,condition,"bars: diabetes_type1, diabetes_type2",1,Kapikachu Churna,,,
diabetic_wounds,red_flag,shown to the user: A wound on diabetic skin can deteriorate quickly. Have it looked at rather than treating it at home.,1,Minor Wound / Slow Healing Cuts (Vrana),,,
diarrhea,derived,derived state: you are reporting diarrhoea,16,Abhayarishta; Avipattikar Churna; Constipation; Dashamoola Taila,,,
diarrhea_acute,derived,derived state: you are reporting diarrhoea,1,Amalaki Churna,,,
do_not_ingest,caution,shown to the user: External use only — do not swallow.,6,Anu Taila; Chandanadi Taila; Eladi Taila; Karpuradi Taila,,,
do_not_swallow_large_quantities_camphor,caution,shown to the user: Contains camphor. Dissolve slowly in the mouth; do not swallow in quantity.,1,Khadiradi Vati,,,
dysentery,derived,derived state: you are reporting diarrhoea,1,Diarrhea (Atisara),,,
edema,red_flag,"shown to the user: New or worsening swelling of the legs can be a heart, kidney or liver sign — have it assessed before treating it as a Kapha problem.",1,Yashtimadhu Churna,,,
emaciation,condition,bars: underweight,7,Kutki Churna; Mahamanjishthadi Kashayam; Neem Churna; Nimbapatradi Kashayam,,,
endometriosis_severe_consult_gynae,red_flag,shown to the user: Severe or worsening period pain deserves a gynaecological assessment — do not simply manage it at home.,1,Dysmenorrhea / Painful Periods,,,
epilepsy,vocabulary,matched directly — the app records this condition under this name,3,Eladi Vati; Kanakasava; Saraswatarishta,,,
epistaxis,red_flag,shown to the user: Stop if you get nosebleeds — warming nasal preparations can worsen them.,1,Sinus Congestion / Pratishyaya,,,
fever,derived,derived state: you are reporting fever,8,Dhanwantharam Kashayam; Dhanwantharam Taila 101; Karpasasthyadi Taila; Mahanarayana Taila,,,
fever_active,derived,derived state: you are reporting fever,1,Loha Bhasma,,,
gallstones_active,condition,bars: gallstones,2,Ela Churna; Haridra Churna,,,
gastric_ulcer,condition,bars: peptic_ulcer,6,Agnitundi Vati; Ashtachurna; Hingwashtak Churna; Trikatu Churna,,,
gastric_ulcers,condition,bars: peptic_ulcer,5,Chitraka Churna; Lavangadi Churna; Maricha Churna; Pippali Churna,,,
hair_loss_with_oily_scalp,red_flag,shown to the user: Heavy oil application is the wrong approach for an already oily scalp.,1,Ksheerabala Taila,,,
heavy_bleeding,condition,"bars: menorrhagia, uterine_fibroids, endometriosis",1,Piles / Hemorrhoids (Arsha),,,
heavy_bleeding_for_vata_kapha,condition,"bars: menorrhagia, uterine_fibroids, endometriosis",1,Menstrual Cramps,,,
heavy_menstruation,condition,"bars: menorrhagia, uterine_fibroids, endometriosis",1,Rajapravartini Vati,,,
hemochromatosis,red_flag,shown to the user: Not with iron overload (haemochromatosis) — this is an iron preparation.,2,Lohasava; Shilajit,,,
hepatic_failure,condition,"bars: liver_disease, fatty_liver, hepatitis_chronic",1,Sutashekara Rasa,,,
herniated_disc_severe,red_flag,"shown to the user: Leg weakness, numbness or bladder changes with back pain need urgent assessment — not home treatment.",1,Sciatica / Radiating Back Pain (Gridhrasi),,,
high_cholesterol,vocabulary,matched directly — the app records this condition under this name,1,Brahmi Ghrita,,,
high_fever_above_103,derived,derived state: you are reporting fever,1,Mild Fever (Sama Jwara),,,
hyperacidity,vocabulary,matched directly — the app records this condition under this name,22,Abhayarishta; Agastya Rasayana; Agnitundi Vati; Ashtachurna,,,
hypercalcemia,red_flag,shown to the user: Not with high blood calcium — this is a calcium-bearing preparation.,1,Mukta Pishti,,,
hyperparathyroidism,red_flag,shown to the user: Not with an overactive parathyroid — this is a calcium-bearing preparation.,1,Mukta Pishti,,,
hypertension,vocabulary,matched directly — the app records this condition under this name,2,Kanakasava; Yashtimadhu Churna,,,
hypertension_due_to_lavana,condition,bars: hypertension,1,Vaishwanara Churna,,,
hyperthyroid,vocabulary,matched directly — the app records this condition under this name,4,Ashwagandha Churna; Ashwagandharishta; Kanchanara Guggulu; Male Vitality / Reproductive Weakness (Vajikarana),,,
hyperthyroid_use_opposite_approach,condition,bars: hyperthyroidism,1,Hypothyroid Lifestyle Support (Galaganda),,,
hyperthyroidism,vocabulary,matched directly — the app records this condition under this name,2,Medohar Guggulu; Navaka Guggulu,,,
hyperuricemia_severe,condition,bars: gout,1,Shilajit,,,
hypoglycemia,red_flag,shown to the user: Do not use if you get low blood sugar episodes.,3,Bhringaraja Churna; Chirayata Churna; Karela Churna,,,
hypoglycemia_risk,caution,shown to the user: Can lower blood sugar. Monitor closely if you take glucose-lowering medication.,1,Diabetes Lifestyle Support (Prameha / Madhumeha),,,
hypokalemia,red_flag,shown to the user: Not with low potassium — liquorice (Yashtimadhu) lowers it further.,1,Yashtimadhu Churna,,,
hypotension,vocabulary,matched directly — the app records this condition under this name,6,Arjuna Churna; Jatamansi Churna; Kalmegh Churna; Kesar (Saffron) Milk Powder,,,
hypothyroid,vocabulary,matched directly — the app records this condition under this name,1,Praval Pishti,,,
hypothyroidism,vocabulary,matched directly — the app records this condition under this name,3,Brahmi Churna; Brahmi Vati; Ushirasava,,,
ibs_diarrhea_predominant,condition,bars: ibs,1,Avipattikar Churna,,,
infected_open_wounds,red_flag,"shown to the user: Do not apply to broken skin that is infected — spreading redness, pus or fever needs medical care.",1,Eczema / Atopic Dermatitis (Vicharchika),,,
inflammatory_bowel_disease,condition,"bars: ulcerative_colitis, ibd_crohns",2,Eranda Mula Churna; Intestinal Worms (Krimi Roga),,,
jaundice_with_fever,red_flag,"shown to the user: Yellow eyes or skin with fever needs medical assessment, not home treatment.",1,Liver Support / Fatty Liver,,,
kapha_disorders,derived,derived state: Kapha is currently aggravated,1,Narasimha Rasayana,,,
kapha_excess,derived,derived state: Kapha is currently aggravated,8,Brahmi Ghrita; Drakshasava; Ksheerabala Taila; Phala Ghrita,,,
kapha_predominant,derived,derived state: Kapha-predominant constitution,2,Mahatikta Ghrita; Satavaryadi Ghrita,,,
kidney_disease,vocabulary,matched directly — the app records this condition under this name,1,Yashtimadhu Churna,,,
kidney_failure,vocabulary,matched directly — the app records this condition under this name,2,Arogyavardhini Vati; Chandraprabha Vati,,,
kidney_stones,vocabulary,matched directly — the app records this condition under this name,2,Burning Urination / UTI Symptoms (Mutrakriccha); Mukta Pishti,,,
liver_disease,vocabulary,matched directly — the app records this condition under this name,6,Arvindasava; Ashokarishta; Mahatikta Ghrita; Shwas Kuthar Rasa,,,
liver_disease_severe,condition,"bars: liver_disease, fatty_liver, hepatitis_chronic",2,Amrutarishta; Dashamoolarishta,,,
liver_failure,condition,"bars: liver_disease, fatty_liver, hepatitis_chronic",1,Tamra Bhasma,,,
long_term_use,caution,shown to the user: Not intended for continuous long-term use. Review the course periodically with a practitioner.,1,Vacha Churna,,,
mucous_membranes,caution,"shown to the user: Do not apply to mucous membranes — eyes, inner nose, or genitals.",1,Karpuradi Taila,,,
non_certified_source,caution,shown to the user: Use only a certified source — uncertified metal preparations carry a heavy-metal risk.,1,Tamra Bhasma,,,
nursing,derived,derived state: nursing,1,Dhanwanthari Gulika,,,
obesity,vocabulary,matched directly — the app records this condition under this name,13,Bala Churna; Brahmi Ghrita; Chandanasava; Drakshadi Kashayam,,,
open_wounds,red_flag,shown to the user: Do not apply to broken or open skin.,7,Dhanwantharam Taila 101; Karpasasthyadi Taila; Karpuradi Taila; Mahanarayana Taila,,,
parkinson,vocabulary,matched directly — the app records this condition under this name,1,Sarpagandha Vati,,,
peptic_ulcer,vocabulary,matched directly — the app records this condition under this name,4,Brahmi Churna; Brahmi Vati; Saraswatarishta; Sarpagandha Vati,,,
pitta_disorders,derived,derived state: Pitta is currently aggravated,3,Agnitundi Vati; Ashtachurna; Rajapravartini Vati,,,
pitta_excess,derived,derived state: Pitta is currently aggravated,31,Agastya Rasayana; Chitraka Churna; Dashamoola Taila; Dashamoolarishta,,,
postpartum_infection_seek_medical_care_first,red_flag,"shown to the user: Fever, foul-smelling discharge or severe pain after childbirth needs urgent medical care.",1,Postpartum Recovery / Weakness (Sutika Paricharya),,,
pregnancy,derived,derived state: pregnancy,84,Abhayarishta; Agnitundi Vati; Amruthotharam Kashayam; Arjunarishta,,,
pregnancy_first_trimester,derived,derived state: pregnancy,3,Haridra Khanda; Manjishtha Churna; Sukumar Kashayam,,,
pregnancy_first_trimester_high_doses,derived,derived state: pregnancy,1,Shunti Churna,,,
pregnancy_high_doses,derived,derived state: pregnancy,5,Eladi Vati; Kutaj Churna; Pippali Churna; Shatapushpa Churna,,,
pregnancy_high_doses_more_than_1g,derived,derived state: pregnancy,1,Kesar (Saffron) Milk Powder,,,
pregnancy_with_fever,derived,derived state: pregnancy with fever needs clinical assessment,1,Mild Fever (Sama Jwara),,,
pregnant,derived,derived state: pregnancy,1,Abhraka Bhasma,,,
renal_disease,vocabulary,matched directly — the app records this condition under this name,10,Abhraka Bhasma; Chandrakala Rasa; Kamadugdha Rasa; Kumari Churna,,,
renal_failure,vocabulary,matched directly — the app records this condition under this name,2,Shwas Kuthar Rasa; Water Retention / Oedema (Shopha),,,
saffron_allergy,caution,shown to the user: Contains saffron. Do not use if you are allergic to it.,1,Kumkumadi Taila,,,
scalp_infection,red_flag,shown to the user: Do not apply to an infected scalp.,1,Bhringaraja Taila,,,
second_degree_burns,red_flag,shown to the user: Blistering burns are second-degree — do not apply oils or pastes; get medical care.,1,Mild Burns / Sunburn (Dagdha Vrana),,,
sensitive_skin_patch_test_first,caution,shown to the user: Patch-test on a small area of skin first if your skin is sensitive.,1,Vishagarbha Taila,,,
severe_anaemia_hb_below_8,condition,"bars: anemia, sickle_cell, thalassemia",1,Mild Anaemia / Iron Deficiency (Pandu Roga),,,
severe_anemia,condition,"bars: anemia, sickle_cell, thalassemia",1,Khadirarishta,,,
severe_constipation,condition,bars: constipation_chronic,2,Musta Churna; Panchavalkal Kashayam,,,
severe_dehydration,red_flag,shown to the user: Severe dehydration needs oral rehydration or medical care first.,8,Gokshura Churna; Haritaki Churna; Kutajarishta; Phalatrikadi Kashayam,,,
severe_diabetes,condition,"bars: diabetes_type1, diabetes_type2",1,Sarivadyasava,,,
severe_diarrhea,derived,derived state: you are reporting diarrhoea,1,Kaishor Guggulu,,,
severe_emaciation,condition,bars: underweight,2,Arogyavardhini Vati; Triphala Guggulu,,,
severe_hypotension,condition,bars: low_blood_pressure,1,Arjunarishta,,,
severe_infection_with_fever,red_flag,"shown to the user: Burning urination with fever or flank pain suggests a kidney infection — see a doctor, this needs antibiotics.",1,Burning Urination / UTI Symptoms (Mutrakriccha),,,
severe_kidney_failure,condition,bars: chronic_kidney_disease,3,Gokshuradi Guggulu; Punarnava Churna; Punarnavadi Guggulu,,,
severe_liver_disease,condition,"bars: liver_disease, fatty_liver, hepatitis_chronic",1,Manasamitra Vatakam,,,
severe_pitta,derived,derived state: Pitta is currently aggravated,1,Kumaryasava,,,
severe_pitta_disorders,derived,derived state: Pitta is currently aggravated,1,Dhanwanthari Gulika,,,
severe_renal_failure,condition,bars: chronic_kidney_disease,1,Varunaadi Kashayam,,,
severe_vata_disorders,derived,derived state: Vata is currently aggravated,1,Neem Churna,,,
severe_vata_imbalance,derived,derived state: Vata is currently aggravated,1,Kalmegh Churna,,,
severe_vomiting_with_blood,red_flag,"shown to the user: Vomiting blood, or what looks like coffee grounds, needs emergency care.",1,Nausea / Vomiting Sensation,,,
skin_infection,red_flag,shown to the user: Do not apply over an active skin infection.,3,Dhanwantharam Taila 101; Karpasasthyadi Taila; Sahacharadi Taila,,,
skin_infections,red_flag,shown to the user: Do not apply over an active skin infection.,2,Mahanarayana Taila; Nalpamaradi Taila,,,
slow_pulse,red_flag,shown to the user: Not if your resting pulse runs slow.,1,Jatamansi Churna,,,
strep_throat_with_high_fever,red_flag,"shown to the user: A sore throat with high fever, white patches or a rash may be strep and may need antibiotics.",1,Sore Throat (Kantharoga),,,
stroke_symptoms_seek_emergency,red_flag,"shown to the user: Sudden vertigo with weakness, slurred speech or facial droop is a stroke until proven otherwise — call emergency services, do not self-treat.",1,Vertigo / Dizziness (Bhrama),,,
thrombosed_piles,red_flag,"shown to the user: A hard, acutely painful pile is likely thrombosed and needs to be seen.",1,Piles / Hemorrhoids (Arsha),,,
thyroid_hyperthyroidism,condition,bars: hyperthyroidism,1,Saptavinshati Guggulu,,,
trying_to_conceive_male,caution,shown to the user: Not advised while actively trying to conceive — it can lower sperm count.,1,Nimbapatradi Kashayam,,,
type1_diabetes_on_insulin,condition,bars: diabetes_type1,1,Diabetes Lifestyle Support (Prameha / Madhumeha),,,
ulcer,condition,bars: peptic_ulcer,1,Loss of Appetite (Arochaka),,,
uncontrolled_diabetes,condition,"bars: diabetes_type1, diabetes_type2",4,Chyawanprash; Drakshasava; Haridra Khanda; Phala Ghrita,,,
uterine_fibroids,vocabulary,matched directly — the app records this condition under this name,1,Rajapravartini Vati,,,
vata_constitution_dominant,derived,derived state: Vata-predominant constitution,1,Kutki Churna,,,
vata_disorders,derived,derived state: Vata is currently aggravated,2,Panchavalkal Kashayam; Rohitaka Churna,,,
vata_excess,derived,derived state: Vata is currently aggravated,5,Chirayata Churna; Nimbapatradi Kashayam; Patolakaturohinyadi Kashayam; Varanadi Kashayam,,,
vata_predominant,derived,derived state: Vata-predominant constitution,1,Phalatrikadi Kashayam,,,
wilson_disease,red_flag,shown to the user: Not with Wilson's disease — this is a copper preparation and copper is exactly what that condition cannot clear.,1,Tamra Bhasma,,,
without_clinical_supervision,caution,shown to the user: Take only under the supervision of a qualified practitioner.,1,Chandrakala Rasa,,,
