condition,ayurvedic_name,kind,item,enforced_by_scan,modern_extrapolated,classical_ref,mechanism,item_ok,vaidya_notes
amavata,Amavata (Rheumatoid Arthritis),pathya,garlic (Lasuna),,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),pathya,horse gram (Kulatha) soup,,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),pathya,castor oil (Eranda) with warm water,,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),pathya,moong dal with turmeric,,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),pathya,Rasona Kshira (garlic milk),,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),apathya,curd (Dadhi),yes,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),apathya,fish,yes,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),apathya,black gram (Urad),yes,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),apathya,new rice,no,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),apathya,cold foods,no,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),apathya,refrigerated food,no,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
amavata,Amavata (Rheumatoid Arthritis),apathya,incompatible food combinations,no,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
anemia,Pandu Roga,pathya,pomegranate (Dadima),,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,pathya,amla (Amalaki),,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,pathya,dates (Kharjura),,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,pathya,beetroot,,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,pathya,spinach (Palaka) cooked with iron vessel or sesame,,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,pathya,sesame seeds (Tila),,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,pathya,jaggery (Guda) with amla,,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,apathya,clay eating,yes,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,apathya,excess raw food,no,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,apathya,cold water,no,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,apathya,curd with milk,no,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
anemia,Pandu Roga,apathya,excess exercise during treatment,no,,Charaka Chikitsa 16 (Pandu Roga Chikitsa); Ashtanga Hridayam Chikitsa 13,"Sour, alkaline and Viruddha foods obstruct Rasa-Rakta formation.",,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,warm freshly cooked food,,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,cow's ghee,,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,dry ginger (Shunthi),,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,turmeric (Haridra),,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,garlic,,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,moong dal,,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,old rice,,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,pathya,Guggulu preparations,,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,apathya,curd (Dadhi),yes,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,apathya,cold and refrigerated foods,yes,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,apathya,fermented foods,yes,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,apathya,urad dal and rajma,yes,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,apathya,deep-fried foods,yes,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
ankylosing_spondylitis,Asthi-Majjagata Vata with Ama,apathya,incompatible combinations (Viruddha Ahara),no,,Charaka Chikitsa 28 (Vatavyadhi); Charaka Chikitsa 29 (Vatashonita),Ama-forming and Vata-increasing foods drive the Asthi-Majjagata process.,,
anxiety,Chittodvega,pathya,warm milk with nutmeg,,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,pathya,cow's ghee,,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,pathya,soaked almonds,,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,pathya,dates (Kharjura),,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,pathya,Brahmi and Ashwagandha preparations,,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,pathya,rice,,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,pathya,sesame seeds,,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,pathya,regular meal times,,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,apathya,coffee and strong black tea,yes,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,apathya,alcohol,yes,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,apathya,energy drinks,yes,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,apathya,dry and raw cold foods,no,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,apathya,skipping meals,no,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
anxiety,Chittodvega,apathya,excess pungent food,no,,Charaka Sutra 11 (Manasa); Charaka Chikitsa 9 (Unmada),"Stimulants and dry, cold, irregular food aggravate Vata in the Manovaha srotas.",,
arsha,Arsha (Haemorrhoids / Piles),pathya,horse gram (Kulatha),,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),pathya,wheat (Godhuma) without bran loss,,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),pathya,old rice,,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),pathya,buttermilk,,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),pathya,drumstick (Shigru) flowers,,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),pathya,Haritaki (Chebulic myrobalan),,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),pathya,pomegranate,,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),apathya,excess spicy food,no,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),apathya,fried food,no,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),apathya,beans causing flatulence,no,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),apathya,sitting for long hours after eating,no,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
arsha,Arsha (Haemorrhoids / Piles),apathya,suppression of natural urges,no,,Charaka Chikitsa 14 (Arsha Chikitsa); Sushruta Nidana 2,"Pungent, fried and flatulent foods aggravate Arsha.",,
asthma,Tamaka Shwasa,pathya,ginger (Shunthi),,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,pathya,black pepper (Maricha),,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,pathya,long pepper (Pippali),,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,pathya,honey (Madhu),,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,pathya,warm foods,,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,pathya,Tulsi tea,,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,pathya,light easily digestible foods,,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,cold foods,no,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,cold water,no,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,curd,yes,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,banana,yes,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,ice cream,yes,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,fried foods,no,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,excess sweet taste,no,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
asthma,Tamaka Shwasa,apathya,fish and dairy together,yes,,Charaka Chikitsa 17 (Shwasa Chikitsa); Ashtanga Hridayam Chikitsa 4,"Cold, heavy and Kapha-increasing foods provoke Shwasa.",,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,hing (Hingu) in the tadka,,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,ajwain (Yavani) water,,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,cumin-coriander-fennel water,,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,ginger with rock salt before meals,,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,"moong dal (well cooked, thin)",,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,buttermilk (Takra) with ajwain,,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,warm cooked vegetables,,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),pathya,old rice,,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,raw salads,yes,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,"cabbage, cauliflower and broccoli",yes,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,"rajma, chana and other heavy legumes",yes,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,carbonated drinks,yes,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,curd at night,yes,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,cold water with meals,yes,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,eating before the previous meal is digested,no,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
bloating,Adhmana / Anaha (Vata-Ama in the Pakvashaya),apathya,suppressing the urge to pass flatus,no,,Charaka Sutra 19 (Anaha); Ashtanga Hridayam Nidana 8,Vatala and gas-forming foods distend the Pakvashaya where Vata is already obstructed by Ama.,,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,cow's ghee,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,sesame oil,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,warm milk,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,garlic,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,ginger,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,moong dal,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,old rice,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,pathya,warm cooked vegetables,,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,apathya,cold and refrigerated foods,yes,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,apathya,curd at night,yes,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,apathya,dry and raw foods,no,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,apathya,fermented foods,no,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
cervical_spondylosis,Griva Sandhigata Vata / Manyastambha,apathya,carbonated drinks,no,,Charaka Chikitsa 28 (Vatavyadhi); Ashtanga Hridayam Nidana 15,"Cold, dry and fermented foods increase Vata in the cervical Sandhi.",,
common_cold,Pratishyaya,pathya,warm water,,,Ashtanga Hridayam Uttara 24 (Nasaroga); Charaka Chikitsa 26,Cold and heavy foods increase Kapha and prolong Pratishyaya.,,
common_cold,Pratishyaya,pathya,ginger and tulsi decoction,,,Ashtanga Hridayam Uttara 24 (Nasaroga); Charaka Chikitsa 26,Cold and heavy foods increase Kapha and prolong Pratishyaya.,,
