food,food_id,category,prep_state,stated_reasoning,rasa,guna,virya,vipaka,dosha_effect,pathya_for,apathya_for,gates_a_condition,analogy_ok,profile_ok,should_be,vaidya_notes
Paratha,paratha,grain,cooked,"A preparation, not a dravya. Reasoned from Godhuma cooked in sneha: the wheat's guru-snigdha guna intensified and the virya turned ushna by the ghee and the griddle. Extrapolated, not cited.",sweet,guru; snigdha; sthira,heating,sweet,V-2 P+1 K+2,,obesity; high_cholesterol; fatty_liver; acidity; arsha,yes,,,,
Pineapple,pineapple,fruit,ripe,"No nighantu entry — a New World fruit. Reasoned as madhura-amla, tikshna and ushna; the pregnancy caution is the one folk and modern sources agree on and matches papaya's Bhedana action. Extrapolated, not cited.",sweet; sour,guru; tikshna,heating,sour,V-1 P+1 K-1,obesity; constipation,pregnancy; acidity; psoriasis; amavata,yes,,,,
Rajma (Kidney Beans),rajma,legume,cooked,"No nighantu entry — the kidney bean is a New World crop. Reasoned from the Shimbi Varga at its guru, ruksha, Vata-vardhaka end, which is where its reputation for flatulence puts it. Extrapolated, not cited.",sweet; astringent,guru; ruksha; sthira,cooling,pungent,V+2 P-1 K-1,diabetes,ibs; grahani; arsha; amavata,yes,,,,
Raktaphala (Tomato),tomato,vegetable,raw,"No nighantu entry — the tomato is a New World fruit. Reasoned as amla-madhura with amla vipaka and ushna virya; the Amlapitta and Amavata cautions follow from the amla rasa the derived row already named while giving it katu vipaka. Extrapolated, not cited.",sour; sweet,laghu; snigdha,heating,sour,V-1 P+2 K-1,,acidity; amavata; psoriasis; arsha; kidney_disease,yes,,,,
Sabudana (Tapioca Pearls),sabudana,grain,cooked,"No nighantu entry — tapioca is a New World root and reaches India long after the texts. Reasoned as pure madhura starch: guru, picchila, Kapha-vardhaka, and nutritionally near-empty besides carbohydrate. Extrapolated, not cited.",sweet,guru; picchila; sthira,cooling,sweet,V-1 P-1 K+2,,diabetes; obesity; hypothyroid; fatty_liver,yes,,,,
Soy Milk,soy_milk,vegan_protein,prepared,"No classical entry; the soybean itself is absent from the nighantus. Reasoned from the Shimbi (legume) Varga as a madhura-kashaya, guru, abhishyandi preparation — Vata-vardhaka by its flatulence, as legumes are. Extrapolated, not cited.",sweet; astringent,guru; picchila,cooling,sweet,V+1 P-1 K+1,,hypothyroid; thyroid; ibs; pcos,yes,,,,
Soya Chunks,soya_chunks,legume,cooked,"No nighantu entry, and the defatted extrusion has no dravya analogue at all. Reasoned from the Shimbi Varga as guru and ruksha; the thyroid caution is modern and does not come from the texts. Extrapolated, not cited.",sweet; astringent,guru; ruksha,cooling,pungent,V+2 P+0 K+0,,hypothyroid; thyroid; ibs; pcos,yes,,,,
Sunflower Seeds,sunflower_seeds,nut_seed,raw,"No nighantu entry — a New World seed. Reasoned from the Vatadi Varga as a guru, snigdha, ushna oilseed, nearest to Tila in guna but without its tikta rasa. Extrapolated, not cited.",sweet,guru; snigdha,heating,sweet,V-1 P+1 K+1,high_cholesterol,acidity; obesity,yes,,,,
Tempeh,tempeh,legume,fermented,"No nighantu entry. Reasoned as a Shimbi taken through mould fermentation: ushna virya and katu vipaka arrive with it, and with them the Amavata and Kushtha bars that attach to fermented food. Extrapolated, not cited.",sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K+0,,amavata; psoriasis; hypothyroid; migraine,yes,,,,
Tofu,vegan_paneer_tofu,vegan_protein,prepared,"No classical entry. Reasoned from the Shimbi Varga curdled as Kilata is — guru and abhishyandi like paneer, but Vata-vardhaka where paneer is Vata-hara, because the legume's flatulence survives the curdling. Extrapolated, not cited.",sweet; astringent,guru; picchila,cooling,sweet,V+1 P-1 K+1,,hypothyroid; thyroid; ibs; pcos,yes,,,,
Tofu (Firm),tofu_firm,legume,prepared,"No classical entry. Reasoned from the Shimbi Varga curdled as Kilata is. Extrapolated, not cited.",sweet; astringent,guru; picchila,cooling,sweet,V+1 P-1 K+1,,hypothyroid; thyroid; ibs; pcos,yes,,,,
Upma,upma,grain,cooked,"A preparation, not a dravya. Reasoned from Godhuma sooji with a ushna tadka — the semolina's guru guna, warmed and lightened by the spices. Extrapolated, not cited.",sweet,guru; snigdha,heating,sweet,V-1 P+0 K+1,,diabetes; obesity,yes,,,,
Whole Wheat Bread,bread_whole_wheat,grain,fermented,"No classical entry. Reasoned from Godhuma taken through yeast fermentation: amla rasa and amla vipaka arrive with the souring, and with them the Amavata and Kushtha bars that attach to fermented food. Extrapolated, not cited.",sweet; sour,guru; ruksha; sthira,heating,sour,V+1 P+1 K+2,,amavata; psoriasis; acidity; obesity; ibs,yes,,,,
Asparagus,asparagus,vegetable,cooked,"The garden asparagus is not Shatavari, though the genus is shared; the nighantu entry describes the root and this row is the shoot. Reasoned as a madhura-tikta, shita Shaka with a mutrala action. Extrapolated, not cited.",sweet; bitter,guru; snigdha,cooling,sweet,V-1 P-2 K+0,kidney_disease; acidity; pcos,,no,,,,
Chia Seeds,chia_seeds,nut_seed,raw,"No nighantu entry — a New World seed. Reasoned from Atasi for its picchila swelling in water, but shita rather than ushna: it lacks the heat Atasi is cautioned for. Extrapolated, not cited.",sweet; astringent,guru; picchila; snigdha,cooling,sweet,V-1 P-1 K+0,constipation; high_cholesterol; diabetes; acidity,,no,,,,
Quinoa,quinoa,grain,cooked,"No classical entry. Reasoned from the Kudhanya (minor millet) group as a laghu, ruksha, madhura-kashaya grain — nearest to Shyamaka in guna. Extrapolated, not cited.",sweet; astringent,laghu; ruksha,cooling,sweet,V+0 P-1 K-1,diabetes; obesity; high_cholesterol; pcos,,no,,,,
Strawberry,strawberry,fruit,ripe,"No nighantu entry. Reasoned from the Amradi Phala Varga as a light, madhura-amla, shita fruit. Extrapolated, not cited.",sweet; sour,laghu; snigdha,cooling,sour,V-1 P-1 K+0,acidity; high_cholesterol,,no,,,,
Zucchini,zucchini,vegetable,cooked,"No nighantu entry. Reasoned from Koshataki and Alabu as a laghu, drava summer gourd. Extrapolated, not cited.",sweet,laghu; drava,cooling,sweet,V+0 P-1 K+0,obesity; acidity; kidney_disease,,no,,,,
